,Post_Title,Author,Date,Post_Content,Comment_Number,Net_Likes,Views
13,Peugeot Ion,3622,"Jun 19, 2018","Late 2012 Peugeot Ion (silver). Alas, the time has come to say goodbye to my little Peugeot. She's been great and I'd love to keep her. She has never let me down or given me cause for concern. She’s done just over 52k miles, no issues at all flagged on her last MOT in December, has had her Takata airbag recall work carried out, and has never given me any hassle. She has had one previous owner, and with me has been used as an only car and daily commuter.

3kw onboard charger and Chademo rapid DC, bluetooth stereo, USB port and the usual kit, the original remote central locking keyfob and a traditional spare key, and comes with the original 3-pin ""granny"" charging cable, mennekes cable and all the original paperwork (manual, service record, receipts, folder etc.)

She has had a generic screen washer bottle installed to the replace the original.The drivers side front tyre needs a top-up twice a week (I've got a small 12v tyre pump that'll go with the car). In the past she had a car park shunt, which caused minor cosmetic damage. This was tidied up professionally. No mechanical worries at all. Never had any in all my time with the Pug.

Overall, a fantastic little EV and I'm going to miss her. Not the most modern thing around these days, but she is a total tardis. The back seats fold completely flat, and there is hardly any boot lip, so the cargo space is incredibly useful for a car of the size. I've done a full house redecoration and clear out and also helped a relative move house whilst she's been my only car.

Price: £4200

Location: UK - Isle of Wight

Real-world Range:
Conditions are coastal southern England. Driving on hilly but not mountainous country roads, 40-55mph with some town driving, no hypermiling.
Summer (no a/c): 70-75 miles
Winter (comfortably heated): 50-60 miles",14.0,4,3077
14,Peugeot iOn,304,"Oct 14, 2014","I love my blue Leaf, could I learn to also love an iOn?",9.0,0,3011
15,Peugeot I-On 62 plate,62,"Dec 22, 2015","We have 2 I-on's for sale .

1 is on Orkney ,and 1 in Leicestershire !

Showing 11,000 and 12,000 miles.

Both 62 plates ,both just 3 years old and yes we will MOT both cars before sold.

All our EV's have the remaining battery warranty and our own 3 months or 3000 mile warranty on the whole car (except for punctures !)

On our web site at £7995 , but make us an offer we cant refuse ! 

Model: I-on 100% electric
Transmission: auto
Colour: Silver
Mileage: 11477 & 12357
Registered: 16th Nov and 14th De
Owners: 1
Road tax: ZERO !
MOT expires: 09/12/16 and jan2017
Full Service History: yes and TBA


Full details on our web site eco-cars.net













",0.0,0,1266
16,Peugeot Bipper Allied Electrics contactor problem,41985,"Jan 5, 2018","Anybody with it? Allied Electric Peugeot Bipper with Lithium batteires.

When van is not used it takes VERY long time to switch contactor on.... 
also when driving it sometimes switches off and van stops ...

Where it is located (contactor) - needs cleaning? replacing? other problems?

help appreciated 

VAN 2010 year, mint condtition, battery OK.",3.0,0,3342
17,Peugeot e-208 Charges at 95kW,74132,"Mar 18, 2021","Got the chance to put the e-Pug through it’s paces today, for the first time since I got it! I had to make a 270 mile return journey. (M11, M25, M40 and A40).

The consumption seems to be improving with the rise in temperatures. On the outward journey it managed 3.5mpkWh, and a slightly better 3.6 on the return leg. Only got slightly better than that in a Zoe ZE50 on a run to Cornwall last August.










I was planning on charging at a CYC rapid at my destination. Arrived to find BP Chargemaster swapping the old unit out for a new Ultracharger. Never mind, I’ll try it out next time. Hopefully it’ll be as reliable as the old one. 

Where I was really impressed was with the charging speed. In preparation for the return journey, I charged at an Osprey 50kW Rapid for half an hour. 20% to 75% at an average of 49kW. I then did a splash and dash at the new Ionity chargers in Beaconsfield Services. The peak of 95kW didn’t last very long, but I added 18kW in fifteen minutes, so an average of 72kW.










The 208 is a much better motorway cruiser than Zoe. You can easily keep up with traffic, and the steering doesn’t feel too vague. The car feels stable at motorway speeds, without the signature Zoe body roll. And last but not least, I find the seats very comfortable with no aches or pains at the end of the day!",27.0,2,4846
18,Peugeot's e-Legend,72424,"Sep 26, 2018","Looks pretty sexy





",6.0,1,1266
19,Peugeot Ion breaking,83716,"Sep 1, 2019","Hi,
I am newly registered to this forum so please excuse me, I have recently purchase a Peugeot Ion however the drivers floor carpet has a hole the size of a football so I am looking for anyone breaking a Ion/Miev/C Zero as I am sure the carpets are all the same.
any help would be appreciated.

Regards

Paul.",5.0,0,997
20,Peugeot 508SW PHEV battery range,86938,"Mar 13, 2020","Just took delivery of a new 508SW Hybrid on Monday. When I picked the car up it was showing a range of 32 miles which I was expecting.
The battery was exhausted on the 120 mile trip back home and put on charge overnight.
The next day it was showinf 21 miles range on a full charge, and I have been getting the same result every morning, around 20 miles range.
I rang the dealer and he said is reflecting my driving style and would settle down to more range over time.
So the question is what am I doing wrong?",5.0,0,2562
21,"Peugeot Ion for sale, £6,986",246,"Sep 5, 2014","Seems like a bit of a bargain price for an EV! These are rapidly coming down to very sensible second/third car money...

http://www.autotrader.co.uk/classif...true/onesearchad/used,nearlynew,new?logcode=p",6.0,0,1853
22,Peugeot ION for sale,1136,"Sep 28, 2019","Hi everyone,

Selling my ION which has been a great city car and mrs has loved it for the school runs, such a doddle to drive and park. Please find link to advert on Ebay, priced at £4200. 
I am based in Dundee, Scotland.








Peugeot ION Electric EV Free Road Tax Cheap Motoring Great City Car | eBay


Find many great new & used options and get the best deals for Peugeot ION Electric EV Free Road Tax Cheap Motoring Great City Car at the best online prices at eBay! Free delivery for many products!



www.ebay.co.uk



",13.0,0,1797
23,"Peugeot iOn 2011, 46k miles, £3995",4795,"Oct 4, 2021","For sale: 2011 Peugeot iOn, real world range at 55mph 60 miles (summer), 45 miles (depths of winter). 46500 miles. Reliable town car with reasonably new tyres, which sailed through its recent MOT in July (can MOT again ahead of sale if asked). Light weight but good for ferrying kids around. 5 doors, 4 seats. Located in Glasgow but I can potentially deliver. Both charging cables included (type 2 to type 1 and UK 3 pin plug).

Price now reduced to £3995.

Car is listed on Autotrader. Photos available via this Autotrader link

Happy to listen to sensible offers and to be contacted for further discussion. PM me if interested.",10.0,0,1904
24,peugeot 307 indicators problem,76152,"Jan 27, 2019","I have peugeot 307 and the indicators suddenly they are activate how to fix

Sent from my SM-A530F using Tapatalk",3.0,0,626
25,Peugeot e-208 Orders,5427,"Apr 18, 2019","The reservation page is live today Reserve all-new PEUGEOT 208 GT Line | Discover the new Peugeot city car, so I have placed a deposit and 'ordered' an e-208. I also rang the central Peugeot number to check all was OK and the person on the phone was very knowledgeable: Deposits will be turned to orders mid year, first come, first served and deliveries expected January 2020. If you change your mind, then £500 is refundable.

I am just wandering how many deposits for cars that don't exist yet I will have placed by the end of the year; Honda, VW, Renault etc etc.......

Here is my confirmation:







",331.0,2,39739
26,Peugeot Ion will not charge,75300,"Dec 30, 2018","Hello I am probably in the wrong place but I need HELP!
My Pergot Ion is sitting in my garage with a flat battery! I have tried connecting it to my charger where it has happily charged with no problem for a few years!
Today nothing it just clicks off and the orange car symbol is flashing!
I lifted the bonnet and connected the ancillary 12v battery to a charger. I may have left the lights on or something stupid.
Any ideas if I have done the right thing and how soon will I be able to try my mains charger?",0.0,0,1742
27,Peugeot e-Traveller 50kWh battery capacity,6803,"May 6, 2022","Slow charged last night using my 16A portable EVSE before going camping today and I've been meaning to try and work out the battery capacity.

Started at 48% according to app, and when I checked the EVSE it had used 26.6kW... therefore to charge from empty would be 55.417kW but that's before any losses. Does anyone have any idea of what % losses would occur using an EVSE and the onboard AC-DC charger?",0.0,0,910
28,Peugeot app,116730,"Apr 2, 2023","My 22 e208gt premium just went in on Monday for an urgent update and since it was done my app doesn’t connect I’ve tried re registering but it told me someone alre using that email so I deleted the app completely and then downloaded and logged in again but since then yesterday my app doesn’t work at all any advice appreciated 
thanks",10.0,0,661
29,Peugeot Ion starting problem,6918,"May 24, 2022","My Peugeot Ion has developed an odd intermittent fault.

Sometimes it does not ping into ‘ready’ mode when I turn the key, but if I shift int Reverse and back once or twice it then works.

I suspect something worn in the mechanical linkage, or a flaky microswitch.

Anyone seen this before?",4.0,0,1938
30,Peugeot Ion 0-60 time differences?,70528,"Sep 12, 2018","I had a test drive in a Peugeot ion 2011 registration yesterday and was very disappointed with the lag and speed below 20 miles per hour. 
Above 20 miles per hour the car was fine in fact it was great!
But on two busy roundabouts it was dangerously slow to get away from a standing start.
I see that the 0-60 time is given as 15 seconds and yet there is a YouTube video of one doing it in only 12secs how is this possible?",15.0,0,1865
31,peugeot ion obd2 port,1236,"Nov 17, 2014",Hi all not sure if this is the right place to post but does anyone know the location of the obd2 port on a peugeot ion? I have had a good look under the drivers side footwell but nothing.,23.0,0,6444
32,Peugeot e-208 battery symbol,107724,"Mar 27, 2022",I was updating the software and then suddenly I hear a click and the orange solid battery light appears. What does this mean?,13.0,0,4175
33,Peugeot Ion rattly front brakes,15953,"Jun 19, 2017","Just wondering if anyone else has had trouble with really rattly/noisy front brakes in their Ion/C-Zero ?

Mine has had a rattle at the front every since buying it although it seems to have got a lot worse in the 3500 miles I've done since then. Primarily at the front left but both sides I think.

They only rattle over certain types of rough/broken road surface but are very noisy when they do rattle, far noisier than any front brakes on any previous car I've owned. Pressing the brake enough to engage the friction brakes silences the rattle completely.

It's so bad that if thump the front left wheel rim with my hand I can hear the brake caliper rattle - confirmed by holding the caliper with my other hand while thumping, which then silences it. The caliper seems to have a lot of play in it, although I haven't had time to take the wheels off and have a proper look at it to see if it has anti rattle shims missing or what is going on.

It also sounds like the front droplinks need replacing too, which is a different kind of noise, more like a click, over something like a step in the road, but to be honest the brake calipers are so noisy I won't be able to isolate the other noise until I get them sorted first! 

Who says EV's don't need maintenance. ",17.0,0,4636
34,Peugeot Partner Tepee,777,"Jul 6, 2015",I have just noticed one of these for sale at a very reasonable price. Do they have chademo? New parner has Rapid charging but looks like a type1 socket. The 2010 model appears to have the large red 3 phase commando socket. MPV seems to be a 5 seater.,712.0,0,90738
35,Peugeot Partner Tepee EV,7479,"Feb 21, 2019","I'm selling my Peugeot Partner Tepee EV as its now surplus to requirements. Its in good running order with MoT and new tyres.

More info here -
www.bitz.me.uk/EV/index.htm",6.0,0,1594
36,Peugeot iOn long journey report,4795,"Feb 9, 2020","I bought a 2011 Peugeot iOn with 39000 miles on the clock from a fellow Speakev user yesterday. While its main use wiIl be as a second family car for a 16 mile round trip commute and ferrying about young people (therefore range is not that important from day to day), I had to collect it from Doncaster and drive it back home to Glasgow (around 250 miles). Since there may be an interest in the range and usability of a 9-year-old small EV of this kind, I thought I would summarise the experience which was, overall:


about what I expected in terms of realistic range at motorway speeds
slightly better than expected in repeat rapid charging - the rate of charge seemed to hold up and I was not aware of battery heat being an issue (albeit it was wintry and the iOn doesn't actually have a battery temperature gauge).
I am a fairly experienced EV driver having had a Leaf24 since 2015. I don't think this journey would have been possible in 2015 because the rapid charging networks now are simply far more comprehensive than they were then.

I left Doncaster at 2pm and reached Glasgow at 10.40pm therefore this was hardly a fast journey but, thanks to Zap Map user comments and the availability of double rapid charge units at 20-40 mile intervals most of the way, at no point did I fear not making it.

While the stormy conditions yesterday were not nice, the southerly wind was in my favour from the point where I reached the M6 onwards. I had the air on but not the heating, to save electricity. This made it a cold experience aided only by cups of tea.

Leaving Doncaster with 100% battery, stops:

Instavolt Leeds York Road Halfords (arr 30%, dep 60%)
Instavolt Ilkley Booths (arr 30%, dep 73% ish, battery seemed to cut off at that stage)
Engie near Settle (unplanned - just a few minutes top up to ensure I reached Kirkby Lonsdale without a problem)
Instavolt Booths Kirkby Lonsdale (left with 74%)
Tebay Ecotricity (arr 35%, dep 67%)
Southwaite Ecotricity (arr 15%, dep 75%)
Gretna Green Polar (arr 30%, dep 80%)
Moffat Chargeplace Scotland (arr 24%, dep 76%)
Abington Ecotricity (arr 25%, dep 78%)
then home 37 miles later with low battery warning flash.
I drove at 45-55mph most of the time. This was not an imposition on other road users because the stretch from Doncaster to Kirkby Lonsdale was on A-roads where 45-55mph is a typical driving speed and the M6/M74 was dark, stormy and quiet.

I might have got away with charging less often (the Leeds and Settle stops were more for reassurance and I might have made it to Rheged rather than both Tebay and Southwaite) but it is best not to take chances with an unfamiliar car in wintry conditions.

If you are prepared to use any and every rapid chargepoint (rather than stick to one provider), use Zap Map responsibly and favour sites with 2 rapid machines wherever possible then such long journeys are doable if a bit extreme in an iOn.

Since this is Speakev, I will round off by having a go at Ecotricity. Three consecutive service areas from Carlisle to Moffat (Todhills Northbound, Gretna and Annandale Water) were marked as broken or of serious concern on Zap Map therefore that area of motorway would have been unusable for a short range EV if it were not for other providers' A-road chargepoints nearby at Gretna Green and Moffat. I found greater availability of rapid chargers on A roads than on motorways for this journey.

While this was fine as a one-off journey, I now look forward to the iOn remaining in Greater Glasgow for the duration of our ownership.",2.0,5,1665
37,Peugeot Ion,25409,"May 10, 2017","£4000 ono
2012 Registration LM62 OHC
Silver
Battery fully owned
Just reached 24,300 miles
MOT until October 2017

Kingston upon Thames (Surrey)

AirCon / Tinted rear windows / BlueTooth phone handsfree and iTunes streaming from iPhone etc.
Very good load space (for the car's size) with rear seats down
Included is the standard EVSE 3kW 'brick' and also a 5m Type to Type 2 cable.
Also has the wind/rain deflectors on front windows from Micks Garage, and which you'll see on the forums are quite popular with iMiev / iOn / C-Zero owners - but these can be removed in 2 seconds if not required.

Best range achieved was 90 miles on a charge last summer in London
Worst experienced in winter was 55 miles.

The only minor bits are:
1) Hole in front driver carpet when I got it but you wouldn't know as there's rubber mat in top
2) A couple minor chips concurrent with age,
3) A very minor 'push' in on rear hatch where some kind 4x4 must have touch-parked, but you have to look to see it and it was probably there for ages before I even spotted it.
... but don't be put off - these are both tiny things and it looks very nice.
4) Needs a new spigot for Rear Drivers side recline handle to slide onto, but recline still fully available by my improvised handle!

I'm the 3rd owner:
1st was AirportServices company DNATA
2nd was a car dealer who bought it from Blackbushe Car Auctions last year but didn't understand EVs and who sold it to me within weeks!

No Service History, but as an ex fleet car I must assume that this was all done during that period: I moved heaven and earth to try and find out from DNATA and from Peugeot but BOTH said they were not at liberty to divulge the information (even though I was now the registered keeper).

A wonderful first EV (it's my 2nd - I've been pure EV since 2006)







































Feel free to ask any questions

Thanks for looking,
Peter

(Having long been a viewer of the SpeakEV site, but only now enrolling with this as my first post!)",2.0,1,1277
38,Peugeot ion,42265,"Sep 5, 2022","Purchased a 2017 Ion a few weeks ago, it's in fantastic condition and I am getting around 70 miles on a charge using it to make short local deliveries. 
Couple of questions:

It has the optional heated driver's seat, when I turn this on it comes on briefly goes off and the comes back on randomly. The battery was shown as 75% charge on the pre delivery report, could this be causing this or is it normal.

I have been trying to get the gear lever position indicator plate so that I can change it and get the B mode, I ordered one from Japan but have now been told it will be at least three months, anyone know any other place to get one?

Thanks",8.0,0,1430
39,Peugeot I-on X 2 !,62,"Feb 4, 2016","Hi All

We have 2 I-on for sale , now reduced to move them on quick.

Both drive spot on (Ive personally driven both) one is in Leicestershire the other Orkney !

Happy to deliver or we can collect you from Leicester train station if needed for the leicester one !

Both have full Service History with Peugeot dealers, both where MOT'ed in Dec , both in silver.

11k and 13k miles.

Priced to sell on our web site at £6250 , or make us an offer ! (no battery lease , but I expect all you guys know this !)
Both have the 'Granny cable' too !
Main remote key is present but the spare non remote keys are missing (these sometimes turn up weeks/ months later, but TBH these spare Non remote keys are around £30 to replace)


































",0.0,0,1018
40,Peugeot e2008 - Touchscreen Software Version,90227,"Feb 16, 2021","Hello everyone,

I was wondering if owners of the e2008 are getting any more updates on their Peugeot app. I remember doing an update immedtiately after I got the car back in August. But nothing more since then. The Tom Tom got two map updates, I had done one immediately with the touchscreen update back in August and another one maybe one or two months later can't remember. Nothing more since then.

I'm asking because the Peugeot app here is not officially supported in Malta and while I can use all the features, I'm wondering if it's a case of no available updates, or if these are ""hidden"" for me because I'm based in Malta.

Good day everyone!",5.0,1,4944
41,Peugeot iOn Fault,4108,"Oct 27, 2022","I have had a 2012 iOn since 2015 and it's been great.

This Sunday I was out in a big storm.

The car now won't start. Specifically, it turns on, I can put it in Drive, Reverse etc but it won't move. It says D or R (or N or P) are selected but it won't move.

In neutral with the hand brake off it won't move when pushed. 

It feels like the brakes are on, full on.

I have regreased the gear linkage as once or twice before, the gears were difficult to select when that hadn't been done.

Does anyone have any ideas. My very unexpert view is that if I could move the car a few inches forward or backwards then things might work. 

Any advice welcome.",2.0,0,764
42,Peugeot I-On,62,"Dec 7, 2016","Peugeot Ion Electric 


Model: I-on 100% electric
Transmission: auto
Colour: Silver
Mileage: 7456
Registered: 22nd Oct 2012
Owners: 1
Road tax: ZERO !
MOT expires: 21/10/17
Full Service History: YES on 17/12/13 at 2410 miles, 19/11/14 at 4411 miles, 12/10/16 at 7443 miles
Repairs: none !

ONLY £6495.00 ONO !

























Description


Another great Ev .The I-on from Peugeot. Direct from Peugeot uk with just 7456 miles from new and in great condition. watch a video of this silver I-on now by clicking on the video tour box.This is in Leicestershire now , but soon on Orkney",0.0,0,1368
43,Peugeot Market Research (by Ipsos),98305,"May 4, 2022","Yesterday I received by post a questionnaire from Peugeot via Ipsos... Largely about why I chose it, what's going well, what's not going well etc.

Funny thing is that I'm on day 32 (of 7) waiting for a response from a ""connected car specialist"" to my current customer services case regarding the completely hopeless app... I chase it weekly to no avail.

Today, my pal who got hers 5 months after me also got the questionnaire... She also has case open at CS, though I think she's only on day 11 (of 7)

These forms could be amusing to fill in 🤣",4.0,0,626
44,Peugeot e.ledgend,77184,"Mar 19, 2019","Just seen the advert for the legend ... the future looks bright ! So excited to see these cars coming through.

I wonder how much and when !",0.0,0,772
45,Peugeot ION Radio Replacement,100489,"Feb 16, 2023","Has anyone replaced their factory Pioneer radio with something else?

If so did you find a suitable IOS adapter harness?

Thanks",0.0,0,314
46,Peugeot France range calculators e2008 & e208,2107,"Mar 4, 2020","Range calculators on Peugeot France site. Scroll down page

2008e






Peugeot 2008 : Le SUV compact


Découvrez le Peugeot 2008 : Le SUV compact. Disponible en électrique ainsi qu'en motorisation essence ou diesel.




www.peugeot.fr





208e






Peugeot e-208 & 208 : citadine électrique ou thermique


Découvrez la Peugeot 208 : la citadine 100% électrique, disponible aussi en motorisation essence ou diesel. Personnalisez-la et commandez-la en ligne !




www.peugeot.fr



",19.0,1,8317
47,Peugeot E-Partner & Alfa Power,79220,"Feb 5, 2020","Greetings.
There are 2 Alfa Power chargers on a route we often use. Thing is, they are 60kW, our van is 50kW. Will these work? Will they damage the battery? Bit reluctant to go to the bother of signing up if we can't use them. 
Ta muchley. 
Ann",2.0,0,407
48,Peugeot Partner SE,35513,"Jun 13, 2020","I see Peugeot/Vauxhall have launched a larger electric van but no mention about upgrading the existing smaller Partner van. You have to wonder whether this is more about image and being seen to do the right thing!

The Partner is a decent electric van, the only small van with 3 seats and the ability to fold both down for extra load space is great BUT it could do with a bigger battery. It's had zero attention or upgrades as far I can tell since 2015.",0.0,0,444
49,Peugeot Ion EVSE,15953,"Mar 27, 2017","Hi All,

Can I just double check that the EVSE that comes with an Ion is rain proof while operating upright, provided that the 3 pin plug is plugged into an outdoor waterproof socket ?

I'm pretty sure it is by looking at it, and if it wasn't it would make it a bit difficult to use, as the total cable length is nowhere near long enough to reach an indoor socket! (And yet the instructions say not to use an extension lead....yeah right!)

As I don't have a dedicated charge point yet (still trying to figure out how much that would actually cost me with the OLEV subsidies and wildly different prices I've seen quoted online) I had been temporarily running a 15 metre extension reel out through a small window from our back porch, sitting the reel and the EVSE in the boot of the car then shutting the boot carefully over the cables. (If you put the cables either side of the latch there is enough give in the rubber to not crush the cables) Not ideal, and very tedious rolling everything up and putting it away every day!

So as an interim measure I've mounted the EVSE vertically on the outside wall of the house about 2 feet above ground level plugged into an outdoor waterproof 3 pin socket and cable which is run back along the eaves and into the back porch in a waterproof way via the sky lighting. It plugs into the same socket I was using before which is on a circuit that is only shared by an unused socket in the garage and a washing machine. The cable is a heavy duty 13amp outdoor extension rather than the 10 amp indoor reel I was using before.

No more rolling and unrolling a reel and throwing a cable through the window, no more shutting the boot on the cables, I can just drive up, grab the Type 1 connector off a hook I mounted on the wall and plug in in seconds.

Convenience and cable clutter wise identical to a dedicated tethered point. Assuming the EVSE is actually waterproof! (It is sheltered, but a strong wind would blow rain at it)

Also I'm really struggling to get a clear idea of what the cost might be including any subsidies for a Tethered Type 1 16 or 32 amp dedicated install, (the Ion can only make use of 16 amps, but depending on the cost difference I might stump for a 32 for future use on other EV's) as I consider my EVSE wall installation only temporarily and I'd like the extra speed and reliability of a dedicated tethered charger install.

Anyone have any pointers on that as well, mainly from a cost and logistics point of view ? And I assume most people favour tethered both from a theft and convenience point of view ?",0.0,0,1543
50,Peugeot ion reduced range,69972,"Jun 16, 2018","Hi,
I've had a 2012 Peugeot ion for two years now, and have driven an average 11k miles a year. The car has travelled 42k miles in total.
Until recently I have been getting 70+ miles on a full charge, depending on speed etc. About 6 months ago, the range dropped to around 50. It seemed to happen overnight, after driving in extremely wet conditions.
I've checked on canion, and taken it to the dealership and they can't find anything wrong.
Anyone else had a similar experience, or have any ideas?",0.0,1,1959
51,Peugeot Ion 62 plate for sale,4020,"Mar 31, 2016","Hi All,

I have been on the side lines for quite a while, so I thought I'd give the forum a chance to purchase a white Peugeot Ion we have for sale. 

We are a electric car only family - we first started with a Leaf (Wife's car now), then the Peugeot Ion, and now a BMW i3 rex.

The reason for the sale of the Peugeot Ion is that the BMW i3 is a company car and I no longer need the Ion.

I bought the Ion in Sept 2015 from a main Peugeot Dealership (before I knew about the company car option in January 2016 - I now have to travel further for work hence the i3 rex). They had it up for £6495, but I paid £6000 outright with no finance. It is a great car and has been perfect for my commute to work, around town and easy to park .

The Ion comes with an MOT until 18.09.2016, and warranty until 20.09.2016 (subject to a £25 transfer admin fee to Peugeot.)

Car has done 18900 miles (I did over 1000 miles in the car)

Condition is very good inside and out, with only slight wear and tear of a 3.5 year old car!

We am based in Stroud, Gloucestershire.

For sale £5,250 ono. 

A great electric car at a low price, maybe get someone started with an EV car before a Tesla!

If you have any questions, please do not hesitate to ask.

Cheers
John.",5.0,0,1848
