,Dominant_Topic,Date,Text
598,0,2021-05-10,"So that’s at least 3 of who have experienced the 500e and all of us have been impressed! Surprised that September is delivery time. End of the summer by then. Why such a delay? Car was announced last year was it not and appeared at dealers last month. That is almost another 5 months away. 
What was the cabrio roof like in the rain? Really noisy with the rain battering down? Only ever had a hard top convertible/roadster (Daihatsu Copen) so not familiar with day to day living with a canvas roof. 
It really did bring the fun back to have an open top drive and kind of cool that now it was in an EV."
82,0,2022-05-04,"I had a Panda 100HP about ten years ago. Loved driving it, but always felt that something expensive could go wrong with the mechanics. And I don't think it got much past six years of life.

Would love to see an electric Panda. Guess they could base it on the same platform as the Corsa and 208 if the 500 platform isn't used. Give it the classic tall back end and stick as little possible past the wheels at each end.

Can't see it going for much under 20k, but would be great to see that barrier broken - shame the Dacia won't be crossing the channel."
539,0,2021-09-07,"My Dealer has been pretty useless on this and advises me now to contact Customer Services. I believe Live Traffic Information should be shown with 30 second updates. Has anyone got this showing . 

Website states ""............ The new Cinemara Infocomes equipped with fully integrated Navigation platform, which will become your driving partherto whoever your journey takes you . The system shows divers up-to-the minute traffic information, refreshed every 30 seconds, including traffic density..................""

500e La Prima Mineral Grey Electric Sunroof, Winter Pack, Alarm "
505,0,2021-08-03,"Collected my La Prima 3 weeks ago. It had recall Software updates installed prior to delivery, which delayed collection. I am still familiarising myself, but car is going back in hopefully for Nav update and others as Traffic Information and Tyre Pressures do not show. I can't be sure everything else is working at this stage. As to battery percentage and range , I wonder whether previous driving styles/modes are taken into consideration in the calculation of range.

Great car and opted for the electric sunroof, which is great to have."
24,0,2022-01-18,"It looks really promising. The Panda has always been good but the Up/Citigo/Mii felt like the sort of thing that Fiat used to be great at - cheap but fun, robust and space-efficient. Love the modular parts and that concept of just clipping your phone to the side of the instrument cluster.

My first few cars were Fiats and I really hope they get their m-o-j-o back under Stellantis.

(edit: is m-o-j-o blocked as a swear word? odd)"
533,0,2021-11-27,"...

2 months later, collected the car today. Guess what, no cable, only the granny charger. I was advised that any orders on the system after 1st Aug had the cable included but this one was before that, which clearly I didn't know as I placed my order in Sept. After some discussion, the dealer will be ordering me a cable at their cost. Top marks to them for recognising their mistake. So stuck with just the granny for a short while.

Other than this, very happy with it so far."
584,0,2021-01-10,"Elmo will be offering it as a subscription car (all included, no deposit).
It is the Fiat 500e La prima 42kWh, know if it’s the convertible only or not, but it’s a car I was surprised of liking myself (not the convertible).
Still need to see the price.


















The ELMO DRIVE Discussion thread


Hi All, As some of you might know, I've just picked up my Renault Zoe ZE50 GT Line CCS from ELMO DRIVE today and, as I believe there is no one on the forum that uses their services yet, thought we could all have a place for opinions, questions, share feedback etc. ELMO DRIVE are a subscription...




www.speakev.com



"
197,0,2023-01-28,"We must be close to a full house where each maker specific forum has a thread running about poor range. I test drove a Honda e and a Mini, both in the summertime and the range was below 100 miles by the time I left the forecourt. I decided then that nothing with a manufacturer specified range of less that 160 miles was worth spending money on. 

BMW bmw 330e loss of range / charge
Renault Range. VERY DISAPPOINTED.
PSA Winter charging and range"
128,0,2023-01-06,"...

Yes, exactly.

I think as time goes on and these systems age and become even more 'fussy' drivers in general are going to finally have to accept that the car in front might well stop suddenly without warning, as we hear of more and more rear-end accidents from this sort of thing.

TBH, that is no bad thing, to assume the car in front might suddenly decide (for itself and for no good reason) to brake to a stop.

These days an assumption has built up that the car in front should never stop or slow down if they are behind it."
55,0,2022-01-19,"Probably all about ncap ratings and EU regs.
Some of which have little or no impact on saving your life-TPMS?
Yes I want my car to give me some protection but I really don't want stuff that adds significantly to the price that work away away in the background and cost a fortune to fix when they inevitably go wrong out of warranty.
Simple, basic, a-b motoring is all I want."
496,0,2022-02-04,"Mode 3 is the granny cable. See my earlier thread on this as its confusing. After Aug last year, any order placed on the fiat system, regardless of trim level, will come with the 'faster' charge cable. However, sounds like you have ordered a 'stock car' so it may well have been ordered before Aug. I placed order with dealer in Sept for Nov delivery, but the original order was put on the system in May, so didn't come with the 2nd cable as standard. The dealer had led me to believe the 2nd cable would be included, so in my case they provided the cable free of charge."
669,0,2020-11-19,"Sounds like a great idea, until you have an issue with the HV system and there is no one in the UK who has ever see one before... that would be my worry

So if you are the adventurous sort and don't mind the odd headache you will have a cheap and fun city runabout.

Like that car and want to keep it, do it, I had a mate who emigrated to Australia in the 80s and he took his beloved Daimler Sovereign Coupe there with him, the price I recall was higher than you are paying now! Bloke from work went to Australia a few years ago and took his RS4 with him exactly for the same reason."
36,0,2022-01-18,"...

You have a future classic, hold onto it.
I remember going to see it in the showroom when it came out, white one-rare as hen's teeth now, fabulous little thing.
Drove the recent Twingo gt rwd, my God was that thing boring- Renault were so afraid you'd stick it in a ditch they cut all power to the back end, blooming infuriating, that could have been the last of the truly great small hot hatches but they bottled it.
(sorry to de-rail the thread, I just love small cars)."
699,0,2020-11-19,"...

@Wastedspacer what is the situation with the 500e, are the indicators white, red or amber?

If they cannot be adjusted, pair of headlamps on ebay for the car are £40 each and if you had to change the rear lights £25 a each, add a fog light and you should be done!

Having had a look at some UK Fiat 500 and the 500e (Thanks ebay.com) the units look pretty much identical i.e. the lenses don't appear to be coloured differently

I wonder if the fog light button is a blank and wiring is behind it still!"
204,0,2023-01-29,"OP the range estimate is not a 'tank level' indicator. It's a how far can I go if I drive it like this indicator. Many years ago I had a first generation range indicator on an XJ40. If I floored the throttle the indicated range on a quarter of a tank of fuel was 5 miles, take my foot off and it would instantly change to 90 miles. The GoM on your 500e is exactly the same just a bit slower to react."
424,0,2022-02-14,"The specification says 3m rather than 2m. But it is clearly not fit for purpose and has either been installed in the wrong place or needs a longer cable. There are plenty of longer cables available secondhand that you could buy and fit for around £50, or you can fight them and I'm sure that they are cable of providing a longer one or moving the box.

ROLEC TYPE 2 TETHERED CABLE | 32AMP | 7.2KW | 5 METRE | USED | eBay"
109,0,2023-04-17,"...

We had a 3 month plus wait for our e208 for a replacement door. There were some issues that needed resolving after the repair due to the length of time the vehicle had been left dismantled and masked off for spray painting. When they removed the tape it damaged the paint in a few places. They had also damaged a wheel and tyre. Orphan cars waiting parts in workshops just get shoved around to make space so give it a thorough going over when you collect it."
45,0,2022-01-18,"...

The 'New' 500e is on a ground up BEV platofrm, the old (2013) 500e that was only sold in the states was based on the old 500 platform, which was actually the Fiat Panda 169 platform so dates from 2003.
I expect this new Panda will be on the same BEV platform as the new 500e, in much the same way the previous 500 and Panda have shared a platform"
315,0,2022-05-22,"







Bilt Hamber Auto Wheel Cleaner (1L & 5L)


Clean your car alloy wheels, remove brake dust and iron deposits with Auto Wheel Bilt Hamber alloy wheel cleaner non-acid, non-alkaline. Watch the red colour change happen on your car alloys whilst shifting the iron.




www.theultimatefinish.co.uk



"
580,0,2021-01-07,"I have also registered my interest in the New 500 La Prima. There is a frustrating lack of real information on the UK website.
However it is possible to configure a La Prima on the Fiat Italy website, which gives a better idea of the specification (albeit in Italian).
Of course UK spec might be a bit different."
423,0,2022-03-08,"Have a look at this thread:









Wireless Charging Pad For Phones - Retrofit?.


Was just giving the car a bit of a clean today, took out the rubber mat in the centre console where the Wireless Charging Pad should be... (is in the higher spec cars but not in the Air Trim UK) Looks like it might be an easy upgrade if the part is available from Kia Parts. If anyone with the...




www.speakev.com



"
478,0,2022-02-10,"I think it would depend on the spec you want. The dealer network have some models in stock, or on order, so depending on your requirements, you may get lucky with a car in stock, or maybe one that is on order but not locked down, so you could add extras/colour options, but that would probably be 3 month wait for build and delivery."
701,0,2020-11-19,"Parts vary more than you expect - I used to own a UK Citroen, whilst on holiday in France the rear light cluster was damaged. The French dealer did not have the UK part in stock so we fitted a French one and had to adjust the wiring loom in the car to get the sidelights to work. So someone now has a car which is half UK and half French wiring!"
41,0,2022-01-18,"...

Panda and 500e will share the same platform, according to this old article:









New Fiat 500e: technical details of electric city car leaked | Autocar


Specs of all-electric next-gen 500 seen online, suggesting a 199-mile range and fast-charging capability




www.autocar.co.uk





Not to be confused with the older 500 platform or Californian 500 electric. Which was a bodge job."
710,0,2020-11-19,"...

No, not rude at all, looking at the layout and specs, it would certainly be a familiar car and if the price is reasonable with incentives along with the considerably better 199 mile range, DC Fast charge and equipment improvements it might be perfect. I'd still be tempted to bring over the old 500e as a project car though ... great thoughts ... have to see what the missus says "
570,0,2021-08-29,"I spoke to the dealer again when we placed our order yesterday... and they confirmed service is every 12 months...! This is ridiculous, my Skoda enyaq is every 24 months...!

There is an offer for fixed price servicing of £299 for 3 years... I think this is only available if using PCP finance..

Sent from my SM-N975F using Tapatalk"
319,0,2022-05-14,"I'm not sure about the electric 500, but the original (new original, not original original) was based on the Panda, which was short narrow and tall. I bought one new in 2005. It had a high driving position, which made best use of the interior space."
675,0,2020-11-19,"Indeed, note the bit above, given you were thinking of purchasing a second one, you really need to make sure it is going to fulfill the ownership criteria.

Biggest change at the back is a fog light, and not sure if the headlamps need replacing once you bring it over, but given the parts are likely shared with the UK 500 it should be easy enough to source them."
445,0,2022-02-15,"...

It makes more sense that a conventional ""granny charger"" and is a branded item that can be installed as a proper charge point. Quite a good concept. But, the restriction of a 3m tethered lead is really odd and restrictive.



Image uploading. Refresh page to view










My Nissan LEAF granny lead is 5m from the brick to the type 1 connector, and our tethered PodPoint likewise."
341,0,2022-03-27,"I have a 500e icon and we have a 9 and 6 yea old and it’s completely fine no issues. We have a high back booster and a sit on booster and it works well, plenty of space for them. I’m 5ft 8 and they have leg room. We use ours for short and long journeys. It’s a great car"
597,0,2021-05-10,"And we have put a deposit on a La Prima Cabrio. Due in September. It was absolutely pouring when we drove it, so only had the roof down for 2 minutes, will ask for another drive when it's sunnier. My wife loved the car, it's more comfortable than the Mini E and the ID3 is too big for her needs."
26,0,2022-01-18,"An older article:

Fiat Centoventi electric car: price, specs and release date

Is m-o-j-o blocked as being too similar to the word with the j replaced by a f?"
695,0,2020-11-19,"...

Yes there used to be a good weeze of importing 6 month old cars from Jersey to save money - presumably that loophole was closed?

For our friend the other side of the pond, Jersey is a Channel Island near France that is a British territory, is not part of the EU and has no VAT (sales tax)"
437,0,2022-02-15,"...

I don’t expect an individual solution tailored to my needs but I put it out on this forum as I wondered if anyone else had problems with it. My Nissan was fitted up with 5 or 6 metres of cable as standard which seems sensible, it’s not as if I live in an unusual shaped house"
34,0,2022-01-18,"I love the Panda. We still have a 15 year old 100hp. I would love a Panda EV, and I really hope (but sadly doubt) that they’ll make a 100hp equivalent with sharp handling and a bit more oomph. The combination of size, practicality and fun would be hard to beat."
609,0,2021-07-28,"...

New Zappi type 2 cable arrived this morning. Waiting for delivery date from the dealer before I swap it over. in the meantime the mighty Leaf (aka the Toaster)is still going strong……"
614,0,2021-08-21,"We picked ours up yesterday. My wife dropped the key on the floor in the garage and the top flew off. The salesman replaced it but didn’t put the metal recovery key in - I did it this morning.

The keys / locking etc seems to be quite complicated - see page 24 on the manual"
63,0,2022-01-19,"...

I'm really interested to see it to be honest. Will be very keen to drive one when I can. It sounds like the sort of car where I might actually be willing to give some things up if it's got the basics right and sold for a sensible price."
524,0,2021-09-11,"...

Thanks. So type 2 has same connector on each end? 6m would be perfect, as 5m would be a little short, so ideal. Can you believe I have been waiting 2 days for the dealer to answer this, nothing yet."
435,0,2022-02-15,"...

If, as it sounds from the above, this item is supplied as part of the cars standard equipment, I don't see that you have any basis for complaint. 

It may be 'penny pinching', I am quite sure it is frustrating, but it is what FIAT supply and if it doesn't suit your particular situation, I think that is just unfortunate."
680,0,2020-11-19,"Is it $5000 plus importation costs? or will it be more expensive than that?

So for an extra 20k you can have much improved..... I am assuming range, how much would that be per mile of additional and possibly un needed city car range."
72,0,2022-01-19,"...

Sorry, unless it costs the same as an old banger and allows me to drive non-stop to the Highlands to hand my granny a postcard, and then immediately drive to Penzance to visit my sick aunt, all whilst towing a horsebox, I'm out."
327,0,2022-03-08,"We also have a red 500 Red Edition (SWMBO wanted a red car!) 

Do you really think the standard headlights are that bad? We have had the car about 4 months now and, even on the unlit lanes where we live, have no issues driving at night?"
523,0,2021-09-11,"Type 2 Cable is 6m . The Granny is under the boot space. Haven't used that yet . Have a 7KW Zappi (tethered ) fitted in the garage , and use this for all charging."
456,0,2022-02-18,"It is unusually short and would seem to be penny pinching, particularly as the location of the charge port on the rear wing means that parking tail in might block the boot."
219,0,2022-12-03,"That's pretty poor. It suggests there's a manufacturing defect and should qualify for a warranty replacement. They should also sort out any damage to the paintwork if the leak extends that far.
Also, request a courtesy car so you are not left without transport."
632,0,2021-06-24,Heard from the dealer yesterday. Apparently our order has been “fixed” which means the spec can’t be changed and it is due to be built!
372,0,2022-04-02,"...

Our 500e (Red) 42kwh came with the Granny charger and a type 2. Buy I actually use another type 2 lead I leave on my wallbox. As I also own a Mokka-e."
700,0,2020-11-19,"...

Since they sell petrol 500 in the UK it should be simple to convert to UK spec and pass an IVA test."
105,0,2023-04-16,"...

Being a lease car I don't think they would be happy with that, but anyway since the model is pretty new, there won't yet be many in scrap.
Apparently Fiat will only send over parts once they have a significant order."
599,0,2021-05-10,"That’s 4! I was was also impressed enough to consider ordering!

quick question - if I replace my Leaf with a 500e will I need a new cable on my Zappi?"
150,0,2023-05-19,"...

🤣🤣🤣

I was thinking the Funky Cat looked useful...wonder if the price will drop a bit after the launch fuss is over. EV prices are a minefield at present."
624,0,2021-04-20,"I contacted them months ago telling them I wanted a test drive as soon as possible too, so they should have been aware there was interest in the car."
431,0,2022-02-15,"As @freddym , the EcoHarmony/Viridian 5m is £102.00 Inc. VAT + delivery (free for slow, £7.40 for fast) but plus fitting.

Where in the country are you?"
535,0,2021-08-12,"The Dealer had the car yesterday , and I still don't have traffic information on the Maps. They are now in communication with ""Italy"" on this. Dealer has also questioned whether there should be. ? 
Can anyone advise if they are getting traffic information overlaid on the Maps."
634,0,2021-06-28,"...

I'd be wanting something in return for doing a favour like that for them, otherwise you have a car that is a month older than it should be. 

Insist on it being registered the day you collect it, unless they make it worth your while."
402,0,2022-02-04,"...

Which 500 have you ordered?

We Picked up a 500 'Red Edition' a couple of months ago and it came with both 'type 2' and 'granny' chargers as standard."
76,0,2022-01-19,"...

I have plenty of time for sensible discussions with people willing to discuss things sensibly and have reasonable expectations....."
17,0,2023-05-22,"I thought the same when the 500e was announced but was disappointed that it was slower, heavier and smaller on the the inside than a BMW i3. I couldn't see where the 15 years of extra development had gone."
443,0,2022-02-15,"...

It can be a decent bit of kit with inbuilt 6mA DC protection and household load restriction.

https://www.easywallbox.eu/wp-content/uploads/2021/07/Datasheet-2_GB.pdf"
534,0,2021-11-01,I can't explain it but all ok this morning. May be it was software updates installing? There were no messages to suggest this though. Case closed for now.
658,0,2021-04-26,Thanks for the review. I will be very interested in this in the future probably. Love a small car and lucky enough for it to work for me for now 
52,0,2022-01-19,"Sounds brilliant and I love the shape proposed and modular concept.

We had a panda (and a cinquecento sporting) for years and loved them,so much character."
656,0,2021-04-25,Not noticeable. We could just about hear the operatic type music/VESS but short lived. Would have to hear it from outside the car I think.
312,0,2022-05-22,"Wheel cleaner, jet wash, wheel cleaner with a wash mitt. Worst wheels I have ever wash."
51,0,2022-01-19,"...

Cool, I used to have a Panda 4x4 with Pirelli winters, unstoppable. Loved it before moving up to a Defender, definately didn't love the fuel consumption "
706,0,2020-11-19,"...

It does seem that you are exempt so long as you can prove you have owned it for more than 6 months. The kicker is to get the exemption we have to be moving over permanently which we may be but waiting until this pandemic is put to rest first."
10,0,2023-04-05,"...

The Renault 4EVER might work, if the Trophy concept is made. It won't be cheap though. Renault 4EVER Trophy (2022) : la mythique 4L devient un petit SUV électrique tout-terrain"
691,0,2020-11-19,"I agree with others that it really isn't a great idea. I can see why my neighbour bought a Corvette in Flordia and shipped it over here as a rare (in UK) and expensive car, but I wouldn't suggest doing it for something (if you excuse me) a bit mundane. Servicing and repairs would be a nightmare as not only the EV side but other parts are totally different - brake system, hvac, etc. 

If you aren't currently UK resident and have owned 6 months then you probably wouldn't have much to pay other than transport, but there is cost of IVA process with any required changes. And no, a USA Fiat 500e definitely can't use type approval of a EU petrol one!"
428,0,2022-02-15,"...

Thanks. How much would it cost for a 5metre cable? Could it be supplied and fitted as it appears to be a sealed unit and I am no electrician"
411,0,2022-02-04,"Well the cable that comes with mine is in the bag, usually the granny cable is under the boot floor. Will just look when it comes"
37,0,2022-01-18,"...

Yes, shame, the 2 things we are REALLY interested in......if their not shouting Im expecting 25k and 110 miles"
125,0,2023-01-06,"I think we don't have the same definition of driving better/worse. To me, a system that can technically react faster than my own reflexes if someone jumps in front of my car is a valuable addition to my questionable driving skills..."
152,0,2023-04-03,"If only 3k miles per year, would a cheaper 24kwh one do?
That mileage suggests short commutes."
542,0,2021-08-30,"I’d stick with the Rolec.

Ours is also 6 years old and going strong. Just needed an RCBO replacement two years ago."
603,0,2021-05-15,"...

this is what it looks like (sorry i got distracted). The left hand side is Chademo and the left hand side is a type 1 ? 






"
23,0,2022-01-18,"Fiat 500e is being offered new at around the £21k-£22k mark.

So it would be cool if the electric Panda (you heard it here first) came in under £20k."
618,0,2021-04-19,I drove and then ordered one on Friday afternoon at Jordans in Hull - They weren't allowed to register it until that morning.
696,0,2020-11-19,"...

And Germany, as anyone who's served in the military or civil service over there will tell you.

The dealers would even order you one with a wheel on the wrong side. "
600,0,2021-05-10,What does your Leaf use? Chademo or the later model Type 2? My Zappi 2 uses a Type 2 socket.
698,0,2020-11-19,"Looks like you'll need a basic IVA:






Vehicle approval


Type approval, individual (IVA), motorcycle single vehicle approval, voluntary approval, certificate of initial fitness, accessibility approval, fees, forms, replacement certificates




www.gov.uk





Doesn't seem too hard."
78,0,2022-01-20,"...

The new 500e is a completely new platform not related to the old one..."
506,0,2021-08-03,"...

Yes.
Sunroof and winter pack extras here also. Ocean Green. Fantastic."
127,0,2023-01-06,Fair enough - if the car was actually stopping every time the system is activated (like it happened to the OP's wife) I would definitely worry!
360,0,2022-04-01,"...

The cable supplied with our car is a reasonable length - ~5m"
683,0,2020-11-19,Best to get an insurance quote too. Car is an oddball and some companies won't insure it.
471,0,2022-02-16,"...

To be fair - 607/668, means you achieved 91% of stated range."
582,0,2021-01-08,"...

It does appear so, dealer said only item that can be added is the Winter Pack."
359,0,2022-04-01,"...

Which is the one that can be permanently wired and upgraded to 7kW, but has a VERY short cable."
122,0,2023-01-06,"...

If I needed a computer to stop me running people over then I'd give up driving. I hope anyone else would too."
311,0,2022-05-22,"Bilt Hamber Autowheel. Spray on, rinse off. No acid. Works a treat. Removes 95% of the crud then wash. If you are feeling energetic, coat the wheels with Gtechniq wheel armour....I forget the number of the product. Lasts 9 months or so. Then just pressure wash to get iron particles off. Interestingly, if you spray Auto Wheel on your bonnet and vehicle sides you will be amazed at the amount of iron particles that get embedded in your paintwork from your brakes and everyone elses even on a new car. It colour changes and is safe on paintwork so you can see it working. It is interchangeable with their product that is marketed specifically for paintwork decontamination but I believe the formulation is identical."
607,0,2021-07-27,"Picking mine up this Friday, non cabrio La Prima "
278,0,2022-06-13,"...

You will need to buy a pair of Flip Flips then for your beach holiday.

Or at least two pairs of Flip Flops and discard the right side Flop Flops."
687,0,2020-11-19,"...

He’s already banned petrol and diesel cars from 2030 hasn’t he? A shouty man on the Internet said he had so it must be true. Scrapping all those 2029 cars will be so wasteful ;-)"
665,0,2020-11-19,"...

If you want an EV runabout in the UK, plenty of used Zoe's to choose from."
551,0,2021-09-11,"...

Thanks but my wife insists it's celestial blue or nothing. . But that's a good marker against the price I am being quoted."
678,0,2020-11-19,It’s not difficult to change lanes or navigate roundabouts in a small LHD car in the U.K.
537,0,2021-08-13,Went for a drive this evening with DD and we couldn’t get any traffic info to appear on the map. 🤷🏻‍♂️
39,0,2022-01-18,"At least it might be EV from the ground up.
How old is a 500 now?- came out in 08 so they fudged an EV out of a 14 year old platform."
627,0,2021-06-19,I test drove and ordered one in May. Still no news of when it’s going to be delivered. Anyone else heard anything?
57,0,2022-01-19,"...

https://www.fleetnews.co.uk/news/fl...yre-pressures-put-millions-of-drivers-at-risk

People have become reliant on the annual service or ""Nanny"" systems to do it for them and I don't think that we'll ever be allowed to go back to not having it."
237,0,2022-09-23,"Cool, that car on the beach is the model I ordered, even in the same colour. 😀"
