,Post_Title,Author,Date,Post_Content,Comment_Number,Net_Likes,Views
11,Cooper SE Winter Motorway Range,100214,"Oct 26, 2021","Hey all, we're in the process of ordering a Level 3 Electric for delivery in the New Year. 

Like many, we absolutely love the car but are slightly concerned about range. As Londoners, 99% of the time it'll be absolutely outstanding, however, we are a tad concerned about what sort of range to expect when we're doing longer journeys. 

They seldom happen, (1-2 times a year), but when they do, they're typically long and we're not on a jolly, but instead aiming to get from A to B as fast as possible. 

We currently have a C350e PHEV and have made the 1000 mile trip from London to Bratislava numerous times before with an overnight in Frankfurt. During our last trip I made a concerted effort to plug the car in at every services we visited and I'm pleased to say that across Belgium, Germany and Austria we were able to activate AC chargers without issue. Adding CCS and bringing Ionity into the mix means I'm not concerned about finding chargers as they're plentiful along the E40 in Belgium, the A3 that takes us across Germany and the route across Austria. 

What does worry me slightly is how often we'll need to stop... My test drive gave me a chance to loosely measure consumption at about 220wh/km in mild, 14-degree conditions doing 70-75mph, but I'm not sure what range to expect of the car with the heat pump running with thicker air to power through in 0-3 degree temperatures... Would 100 miles of range be achievable ingreen mode and at a reduced speed of 120km/h/75mph? 

Obviously only time will tell, but I'd be interested to hear the winter motorway range experiences of owners on this forum to have a rough idea of how many stops the trip will truly require, otherwise it may just be all too hard and require the plane!",22.0,0,6503
12,Collection day Saturday 7th May.,109545,"May 5, 2022","Life long serious petrol head, Electric vehicles were never on my radar at all, however that all changed September 2021

current MINI Clubman Cooper S went for service and required a complete new gearbox replacement, that aside, for the two weeks replacement scheduled work, we were offered a courtesy car, that was a level 1 Electric MINI.

My initial reaction was erm…haven’t you got anything else, erm…no sir, ok, will it get me home, sure it will sir it’s good for 145 miles before it needs charging up, erm…ok.

Having never driven any Electric vehicle before with the exception of a dodgem at the funfair, I really didn’t know what to expect, so once familiar with the controls it was time to head off home, mostly motorway.

What a fun car to drive, before I had got to the motorway less than a mile from the dealership, I was thoroughly enjoying the way it accelerated, such a hoot, and the regenerative braking, fabulous, if judged correctly it’s a one peddle operation, just like the dodgem car at the funfair, with all the usual MINI handling characteristics.

My partner liked it so much that she asked if we could have one, so after the two weeks of fun, and some discussion we ordered in December a level 3 in Green with Satellite Grey interior with piano Black exterior trim including the belt line trim in Black too, the only deletion by the factory was the heated steering wheel, due to global chip shortage, everything else is as we ordered, as per title we collect our level 3 Electric MINI, Saturday.",3.0,5,1484
13,We’ve ordered one,91462,"Feb 2, 2022","Hi all 
I use to post on the i3 section as I used to have an i3s which was a great car. My wife has a VW Tiguan but she decided she wanted a change so weve been and looked at several suv ev’s but then we drove past Mini and she said let’s pop in and have a look. We ended up booking a days test drive and I liked it and she loved it so the deal was done, so we’ve ordered a level2 in black with, piano black exterior parts and privacy glass and we are getting the roof wrapped in red, we looked at the level 3 but at £5000 more and no refund from the government because it’s over the limit it seems a lot for a few extra bits and we are going away from leather, my wife hated the head up display and I had the Harman karden in my i3s and I wast that impreseed, the only thing I would have ordered would have been the sunroof but it’s not an option.
The only issue is she won’t see it for around 6 months, I just hope she is happy with the down size she has always had SUV’s as I said she has a VW Tiguan now and before that was a Range Rover and so on, I love little quick acceleration cars like my i3s( sold 4 months ago) before that was a Lotus Elise and so on, my current car is petrol but still a small toy, I bought a Suzuki Jimny, it a lot of fun, which is the thing about the Mini just lots and lots of fun.
We can’t wait to get it",7.0,3,2846
14,Mini level 1 service costs ?,108386,"Apr 9, 2022","Just about to push the button on a lease deal but can’t seem to find what the servicing requirements are on an electric mini. Can anyone advise please and also the costs involved ?
Thanks !",7.0,0,2803
15,Battery % missing from the instrument panel since November software update,85590,"Mar 18, 2022","Before I had my 2020 Mini Electric 'serviced' by my local dealership, the display panel provided me three different indications of SoC:

The 8 segment arc showing battery charge.
A battery percentage.
A range estimation (GoM) in miles.

After the software update, I appear to have gained a permanent display of miles/kWh but have lost the high resolution battery percentage.

Has anyone else found this happening and is it a feature of the newer models now?

Is there a way to reconfigure the display to get the %SoC back?",4.0,0,2114
16,Wireless Charging Dock 'Expander',100214,"Mar 11, 2022","Collecting my L3 in a fortnight and think I remember reading somewhere of a special trick/cheap third party mod sold to make larger iPhones fit the wireless charging dock? Mine is just that tiny bit too big - which is a pain!

Any advice or tips on this would be much appreciated. 

Cheers",0.0,0,1342
17,MINI Plant Oxford production paused,416,"Mar 10, 2022","BMW has halted production at Plant Oxford until 18 March due to a shortage of parts.




The war in Ukraine has a significant impact on the country’s automotive supply industry. Combined with the ongoing semiconductor bottlenecks, these supply limitations mean further adjustments to the Plant Oxford production schedule are required. Plant Oxford is now standing down production – Monday, March 7, to Friday, March 18 inclusive, for all shifts.

Click to expand...










Mini plant in Oxford to close for two weeks


Oxford’s Mini Plant has stood down production for two weeks.




www.oxfordmail.co.uk



",19.0,0,2760
18,Curbed Corona plug style alloy…,93730,"Feb 3, 2022","Hey all,

So unfortunately I curbed my Corona / plug style alloy at the weekend… 😞

The damage is to the yellow outer rim of the alloy. 

I had to go to Mini for the recall so inquired about an alloy repair. They took one look and said as they were diamond cut alloys they needed a special lathe which they didn’t have onsite as they were a smaller dealership. They advised to go up the road to their sister BMW dealership.

Technician from BMW looked at it and said that although it’s diamond cut it‘s only a repair to the outer rim with a respray of yellow paint, no special lathe required. Only issue he said he’d have was matching the paint as he didn’t have access to Mini paint codes…

Back to Mini the following day and I stated what BMW told me and asked if they’d do it as they would have paint codes. Got an answer back in the afternoon that they still wouldn’t do it as they were a smaller dealership (they aren’t that small) and we’re short of staff. I smelt BS so pushed them and they admitted they’d had the problem before on a used Mini SE they had for sale and they couldn’t get a paint code and ended up ordering a new alloy...

So question is has anyone else curbed their Corona alloy and managed to get a repair? 😬",0.0,0,1639
19,Mini Countryman PHEV vs 330e vs VAG PHEV,70096,"Dec 28, 2021","Seems like mostly average or poor reviews for the Countryman - is this fair?

Would a 330e be a better option?

Need 20ish miles for elec. 

Also thinking of Golf GTE or A3 etron pre 2018 due to budget. 


Sent from my iPhone using Tapatalk",33.0,0,4918
20,First time EV owner - feasible to make longish phone first trip to get car home?,102682,"Dec 13, 2021","Hi all

Took a mini SE for a test drive a few days ago and absolutely love the car. I’m in Northern Ireland and we really lack the public charging infrastructure at the moment, but my local town has a couple of 50kw charge points and I’ll be getting a wall box at home. With COVID my daily commute needs have really dropped and I genuinely believe I can adopt and live easily daily within the range limits of the car. 

I don’t have a car at the moment and am considering using the ‘new stock mini’ to get a L2 / L3 from England quickly rather than wait on an order. Obviously this requires me to travel to collect car, and then depending on the mini dealer location a drive to either Liverpool or Cairnryan whatever is closer. Either way I’m looking at about possibly 200 miles and from ABRP / Zap Map 3 or 4 stops. This would be my first EV and I’m wondering if this is feasible to do. I’d hope to pick it up early January and would be motorway I’d imagine most of the trip. 

So looking to know communities thoughts on if this a good idea, it would be exception just to get car back to NI rather than the rule. What about motorway speeds? Not fussed if it takes a bit longer but don’t want to stranded somewhere!",30.0,0,4520
21,New to EV'ing and a 'new' Mini,99760,"Oct 17, 2021","Hello,
I recently ordered a Level 2 Mini Cooper S electric that is due to be delivered next month (November) and looking forward to joining the EV revolution.
Also awaiting installation of a Wallbox charger in the next couple of weeks.
All in all exciting times and with the prospect of higher fuel costs (irrespective of what your vehicle is on) I think I have made the right time to switch.
I am slightly concerned with the range but on paper the Mini should do everything I need it too and be a hoot to drive to which was another reason for opting for the Mini.
Not had a Mini since I learnt to drive (quite) a few years ago now.
Looking forward to the transition from petrol to electric and the Mini adventure ahead 👍.",27.0,5,5870
22,Mini Countryman SE All 4 Phev broken,62905,"Apr 11, 2018","Hi all new to the forum would just like to let you know about my Brand new Mini Countryman Phev which I had for 2 weeks until it became nothing but a very expensive paperweight.
Took delivery on the 15/03/2018 worked great amazing car until the 31/03/2018 was driving along got a regen fault followed by a battery fault followed by a hybrid system failure then on top of that a drivetrain fault car totally dead engine won’t even run. 
Was recovered by mini assist to local garage car plugged in numerous faults garage has had to contact mini technical in Germany to decode faults and try to see what the issue is they’ve investigated and they themselves are a bit stuck as the diagnostics has shown loads of errors and faults to the point where the complete Hybrid system is to be replaced cables batteries control units the whole 9 yards they may also have to replace the engine as they can. It get it to start at all.
Problem now is lack of parts have to all be special ordered unlikely to see the car again this month I’m now looking at them getting a new car ordered as the repairs under warranty are going to cost them thousands.
This is not good on a brand new car I will keep you posted as things develop",45.0,0,21377
23,Noise from front of vehicle,74312,"Sep 27, 2021","My daughter came over at the weekend with her brand new Cooper S. Whilst stationary on the drive and switched on there was a continuous noise from the front of the car. The noise was like a high pitched hum or singing noise. She couldn’t hear it inside the car. Is this normal? Could it be a fan, a/c or similar?",9.0,0,2539
24,MINI S E Recall?,80698,"Sep 13, 2021","Has anyone heard of a recent recall on the MINI Electric? Not the one for the granny cable, but a new recall going on now. 

Local dealer just got one in and I was about to go ahead and buy but was told they can't sell it to me anymore because of a recall and it would take 3 weeks roughly for the work to be done before I could take it. I can't find any information about this so curious if this is really a thing or if they're making up an excuse to stall me.",2.0,0,2316
25,Current lead time?,96968,"Jun 28, 2021","Hi all,
Just wondering whether anybody has an SE on order or are about to place one so that we can compare lead times on factory orders? Ordered my L1 at the end of April and I have been told 14-16 weeks by the lease company. Other than that I don’t have any order numbers or VIN.
anyone else have any experience? 😃",7.0,0,3647
26,The Jedlix - Smart Charging app is now compatible with MINI⚡,92847,"Aug 12, 2021","Dear MINI Electric drivers,

Good news: the Jedlix - Smart Charging app is now compatible with MINI. 

We are Jedlix ⚡and we have an app that enables you to charge your electric vehicle with greener and cheaper energy, we call this Smart Charging.

What is Smart Charging exactly? Watch our video here

More often than not, people come home at around the same time and plug in their electric vehicles to charge. Besides the fact that it is not always necessary for electric vehicles to start charging immediately, this also creates an enormous load on the electricity grid. By Smart Charging your vehicle, you contribute to maintaining the balance on the electricity grid. Smart Charging ensures that your vehicle is mainly charged when there is sufficient green energy available at the lowest cost. This helps to bring a balance to the energy grid, which you get awarded for! If you Smart Charge with Jedlix you will receive a cash reward💸 for every kWh you Smart Charge. This is on top of your energy bill savings when you have a contract with off-peak hours or dynamic rates.

Why you should Smart Charge with Jedlix?

Earn money and receive cash rewards for balancing the grid;
Optimized charging during your off-peak hours and save money on your electricity bill;
Save the planet and charge your vehicle using more sustainable energy sources;
No additional hardware required: 100% software-based.
You are in charge and you can specify your charging preferences
We would like to invite you to download our app in the App Store or Google Play Store",0.0,1,1690
27,Failure to start timed charge,97163,"Aug 1, 2021","On the two occasions where I've set up the Mini to charge at the cheap time the charge hasn't started. On each occasion, I've gone to check on the car after the appointed witching hour at 0030 and unlocked the car. At that point, the charge starts.!? Either I've set the car up wrong, or there's a proper bug in the car's software. Anyone else got a similar issue?

Tim",5.0,0,1526
28,Aircon availability during rapid charging,85590,"Jul 20, 2021","On a road trip last weekend which was during the recent heatwave I noted that the air conditioning was not keeping the interior of the car cool during rapid charging.

On the second stop we end up getting so hot that we ended up getting back on the road earlier than planned so we could cool the car even if that meant we risked needing to stop again before getting home.

Is there some feature that inhibits air con during rapid charging?",10.0,0,2776
29,Charging noises?,96915,"Jun 7, 2021","Plugged in my mini this evening and there were some strange noises from under the bonnet. A noisier than normal hum and a gurgle sound. Sounded like liquid. Some heat coming from the grill although I had used petrol engine a couple of hours before.
Anyone else heard this? Is it normal?",0.0,0,2138
30,Roof bars and cycle rack on Mini PHEV,56905,"Aug 11, 2020","So we have discovered that Mini Countryman PHEV cannot have a tow bar, and so our plan to have a cycle rack on the tow bar has been kyboshed.

So we are going to get a roof rack and cycle rack.

Seems Thule footpack 7104 is needed. £88 (halfords prices Aug 2020) 
Wing bars 118 £98 ( £20 extra for black ones )
Each bike rack ""Free Ride 532"" is £65

What I was wondering, is anyone selling this stuff second hand ? 

Alternatively has anyone used a second hand older Thule 757 foot pack which the 7104 replaced ?
And does that fit on a Mini Countryman PHEV ?",3.0,0,3190
31,Battery Range,78738,"Jun 7, 2021","Today I saw the highest range this year for my car 18 miles!
My car is Sept 2018 with 7.2kWh battery and has 16k on the clock, but the range has never been too good,",0.0,0,2570
32,Android Auto on Mini Electric yet?,86833,"Apr 2, 2021","So, we're due to take delivery of our new Mini Electric Level 2 in early June '21. I've looked around on t'internet about whether Android Auto is available yet (or just Apple Carplay) but there's not much out there.

I read that it was expected towards end of 2020, but did that happen?",5.0,0,8251
33,MINI Countryman PHEV cold issues,78738,"Jan 10, 2021","During the last few days when it has been below freezing, my car will not run in full electric mode.
When I press start (with a fully charged battery) the ICE fires up this is despite having climatised the car whilst plugged in. The gauge on the dash shows zero miles available and there is a message saying battery power temporarily unavailable!
After a few miles running on ICE, the battery warms sufficiently for the car to run in EV mode.
As an example yesterday it was -4C, so I climatised the car. The app showed only 14 miles available but was at 100%. The car would not run in EV mode, so was running on ICE. After around 6 miles or so EV mode became available, but the range was only showing at 6 miles! I continued my shopping trip but after 14 miles the EV mode was no longer available, so my journey was finished on ICE.
So a 16 mile trip, the first 6 and the last couple on petrol, means only 8 in EV mode!
Strangely despite the app showing 14 miles before I left home, it took 6 miles on petrol before EV. mode was available and then the range was showing as 6 miles. How did I loose 8 miles whilst travelling on petrol?
Incidentally the charging port would not latch shut when I unplugged the car, I had to dowse it with de iced, and cycle the door locks a few times before the latch would secure the port door.

If this is all down to the battery being cold, how does this car operate in Scandinavian winters?",9.0,1,6030
34,Mini Countryman Classic PHEV Question,94578,"Feb 11, 2021","Hi
I an considering the purchase of a Mini Countryman Classic PHEV

I have a couple of questions that I hope forum members can answer for me

Most on my journeys will be less than 15 miles, but on occasions I take longer journeys of about 150

My query is that without having the assistance of the electric motor what the performance (0 to 60) is likely to be, also the likely mpg.

The other query , and I appreciate this is dependent on a number of factors, is the likely cost of insurance

Thanks in anticipation

John",4.0,0,2646
35,Remote Climatisation Mini PHEV,94195,"Jan 24, 2021","Very new owner here - picked up car yesterday under a new Motability lease.
So far I really like the car and I charged successfully at cheap rate last night under Octopus Go. I also set the car to climatise ( set via the in car screen ) ready for short trip today and noticed how that hits the range quite hard in max eDrive, but not surprising given it hit -4 last night.
My one issue right now is with the app. It does the basic functions but when it comes to climatisation remotely it just doesn’t want to know. It’ll take the settings in the App but when it comes to sending them to the car I get a system error. Specifically something like “Sorry, something went wrong” from the Mini Connected App and “Due to system failure, please try again later, we apologize for any inconvenience caused” form the supposedly newer app.
Is there some sort of hidden feature setting I need to enable from inside the Mini I need to be able to get this App feature working or is this just a bad App?",12.0,0,4615
36,Mini Electric range,92591,"Oct 12, 2020","Hi Everyone,

I've had a Level 2 Mini Electric for a few weeks now.
Overall I love it! But I am struggling to get anymore than 100 miles out of the range.
Maybe I need to spend more time in Green+ mode, but I'm wondering if anyone else with a Mini Electric is getting more range than me?",12.0,0,7193
37,Electric Mini - Cold weather issues,93889,"Jan 7, 2021","Hi I've been having some problems with a 6 week old electric mini level 2 spec. The weathers been a little chilly at the moment floating around 1 degree down to -1 degree. Cold but not ridiculously cold. My mini is on the drive outside and gradually Ive been having more and more issues with being able to unlock the car doors and more annoyingly being able to open the charge port and often even if the charge port gets opened, either the car won't charge if I insert the cable or won't let me take a cable out if its been left in over night charging as the locking mechanism for the cable seems to also be effected by the cold. I've noticed its easy for water to ingress into the charge port area as there is no seal around the edge of the charge port flap. Water gets in, freezes and causes havoc with the mechanisms to lock and unlock the door and cable. I called Mini support and they said the obvious to pre warm the car and then try. It actually took a couple of pre warm sessions at 20 mins a go to get the car to charge again or release the charge cable. However this week, the remote services that are part of the mini app to remotely pre warm the car or unlock etc have completely stopped working. This morning the car doors were frozen so I couldn't get into the car to manually kick off any heating either. The mini while a brilliant little car is proving to be not so great or usable in moderate cold weather. A little disappointed tbh especially because of its German DNA, it gets very cold in parts of Germany. Does anyone have any ideas about how to avoid having the locking mechanisms freeze up and does anyone have any idea about how to get the app working with remote services again? I've not tried removing and re adding the car yet. Mini suggested brining it in for a service but the next appointment is months away given the current situation with Covid 19 in the UK. Any help greatly appreciated. The mini could really have done with a charge port warmer and if the car is updated its charge port and door need a re design as now they are inherently flawed. Water ingress with no door seal and that the ports are actually angled down into the car mean water pools and freezes. It's a serious design flaw thats left me with an electric ice cube stuck on my drive way for the past few days.


stuck




















",0.0,0,4101
38,OVO energy - anyone used?,35321,"Sep 24, 2020","As we all might know on this forum, OVO energy have a deal with Mini - 5000 miles of free charging and 2 years of Polar Plus membership if you own a Mini and switch over. Has anyone here done it and have they noticed their bills decrease? Would Octopus be better in the long run as they have very cheap off peak tariffs. Be nice to have free Polar membership although I might rarely use it.",8.0,0,1955
39,Recuperation,93051,"Nov 15, 2020","Hi 

Quick/simple question about recuperation.... in the Mini Connected app, for my last trip, I can see a recuperation value of 10.4 mi/kWh. Does this mean that, on average, I recovered one kWh per 10.4 miles driven? So the lower the number, the better? 

Thanks.",0.0,0,1685
40,Front Booster Seat for Child,92886,"Nov 2, 2020","Hi there,

We've had our Mini EV for a month now, and we are really struggling to find a front booster seat for our 9yr old. They all seem to be too wide and as such do not sit flat.

Does anyone know of, or can suggest a booster that fits correctly?

Thanks in Advance.

EV Dave",4.0,0,1330
41,Any discounts from list prices yet?,85590,"Aug 25, 2020","I have an all day test drive planned this week and I may be looking to place an order if me and the Mrs both get on with the car.

I have never paid list price for a car before and don't really want to make an exception this time, however when using CARWOW, all I get back is the price less the OLEV discount from all dealers.

Has the fixed OLEV grant effectively killed the idea of discounts or perhaps all the dealers are following the Tesla fixed price example for their BEVs.

I am not in a hurry to buy at the moment as I was going to be using the car for commuting but will be WfH for 3 or 4 days a week until the end of the year so I can wait until a deal comes up.

I would want to get the Level 2 car for not much more than a level 1 price. Is that too ambitious? 

I work in the motor industry supply chain and am aware that the difference in parts cost between the two trim levels which are £2000 apart will be no more than about £200.",4.0,0,2701
42,"MINI Electric vs MINI Cooper S, against the clock.",85590,"Mar 14, 2020","MINI Electric goes up against a Cooper S petrol around a go-cart rack.





",3.0,2,2985
43,MINI Countryman Cooper S E Hybrid,4218,"Oct 28, 2016","I'm purposely starting a new thread as the old one contained completely wrong technical specs. There is also a very negative thread in General EV Discussion.

Great technical summary here: In-Depth: 2017 Countryman Cooper S E Hybrid - MotoringFile

I too was very skeptical when I originally thought the new Countryman was based on the same hybrid setup as the BWM Active Tourer. However, it's quite clever. With ICE powering the front wheels and electric at the rear, you get dynamic 4 wheel drive. Power comes from a 134hp 3-cylinder petrol engine and a 87hp electric motor, giving a peak of 221hp. 3 driving modes:

AUTO eDRIVE – Purely electric driving up to 55 mph , the combustion engine is additionally enabled at higher speeds, in particular when accelerating quickly or when the battery charge falls below seven per cent.

MAX eDRIVE – Purely electric driving up to 78 mph , the combustion engine is additionally enabled at higher speeds or on kickdown.

SAVE BATTERY – The car is powered by the combustion engine, the battery charge state is kept above 90 percent or raised to this level by the starter generator.

I currently have a Golf GTE, and this looks quite attractive to me. I will confess a previous interest in Minis, so I am probably biased. Even I will except the new Countryman isn't the prettiest car in the world.",1119.0,1,131185
44,Mini E adaptive cruise control ??,85303,"Sep 22, 2020","Has anyone actually seen adaptive cruise control in a Mini E? The website says they have it but the 'more information' link is broken. I test drove a Level 2 and it didn't have adaptive cruise control. I even downloaded the manual against its VIN and it is definateley just basic cruise control with brake function (it slows down and speeds up which seems sort of obvious) 

I asked about it on the chat on the Mini website and first they told me it was an option (but its not listed anywhere on the pricelist) then that it was standard on level 1 (the lowest spec) so I decided they probably don't know. Is it just vapourware ? Have they done a Zoe and promised it then found it diodnt work?",15.0,0,8461
45,Fully Charged MINI Electric Test Drive,74132,"Feb 28, 2020","



",12.0,0,3803
46,Mini Cooper SE range,35321,"Jan 23, 2020","Just wondering. Official Mini website says range is 145 miles on full charge (shows in screen shot of dash to confirm).
All the YouTube review videos I've watched say range is 105 miles (and 1 video showed fully charged with 105 miles on dash).
Is it 145? Is it 105? I know both are estimates but the answer may help me decide!!",20.0,0,7550
47,Which home charger? Just taken delivery of my Level 2,90125,"Aug 3, 2020",Any suggestions for which home home charger box to buy? I have just taken delivery of my new Level 2 and absolutely love it.,6.0,0,2328
48,Excellent Efficiency on Mini Electric,85232,"Aug 13, 2020","I've been getting excellent efficiency in my Mini electric in the few weeks I've owned it. Easy to get really high efficiency on my daily commute to work.








",11.0,2,2554
49,Noooooo... Price increase today of £3000 on all levels!,35321,"Jul 5, 2020","Just checked the Mini website and now they've increased the price of all 3 levels by £3000. Just as I was about to order . Not going to buy one now.

Level 1 model £27,900 on the road. Level 2 model £29,900 on the road. Level 3 model £33,900 on the road. Figure shown incorporates HM Government Plug-In Car Grant of £3,000. OTR price is based on the Recommended Retail Price (including VAT) and On The Road charges (including delivery and emergency service, vehicle first registration fee and VED costs).",14.0,0,3210
50,How can I see my current charging speed?,2658,"Aug 5, 2020","Is there any way either in the car or in the app how to see what KW the car is currently charging at?
Thanks",2.0,0,1490
51,Level 2 ordered,1653,"Apr 18, 2020","Having watched the electric Mini concept develop with interest, I've placed an order this week. I've been interested in EVs for ages and if seems like a good fit for our family as a second vehicle.

It's a Level 2 in BRG with white roof and mirror caps, plus those plug-style wheels that went by the name ""Corona"" until just a few weeks ago!

The distinctive colour / wheel combination - chosen by our kids - is just the beginning of my trepidation, though. We'll be relying on a nearby 50kw charger and 3-pin home charging, which enough neighbours seem to get on fine with on our Victorian terraced street. Those lovely wheels will die a terrible death at the hands of my wife and our massive kerb stones - they look impossible to refurbish cheaply!! Plus 100 miles of range and the car's size will be a metaphorical and real-life squeeze... 

But I'm convinced enough that the upsides are worth it and that we fit the usage profile well. (We also have a family van and used to have R56 Minis, which felt too small as the kids grew... but I miss all the same).

It also seems like a fittingly modern present to myself in my 40th year! One review describes the car as a heat-seeking missile, which pretty much convinces me.

I'm being told June or July for delivery. Who knows whether that's realistic, but I'll update here either way.",30.0,1,3956
52,Charging question,89700,"Jul 26, 2020","Hi all, new to this having recently bought our first phev, a 2019 Mini Countryman. Had a few charging woes, wondered if it’s my misunderstanding of things or whether the car has a fault? Basically in some public chargers (one Pod-Point at my place of work and an ecotricity) the cars charger port flashed red and refused to charge. It works fine on every other one I’ve tried. The only common denominator of the two that I had no joy with was that they were of the type with a cable attached to the machine, not a socket that we would use our own cable with.
Any ideas? 
Thanks in advance for help and support",3.0,0,1409
53,"So, How Many Banana Boxes Will go in the Boot?",74132,"Jul 25, 2020","



",7.0,1,1106
54,Does anyone know where the locking wheel nut key is in a Mini Country PHEV (S E)?,89634,"Jul 17, 2020","Subject line says it all. I've looked in all the places recommended for other Mini's, but the PHEV is not the same.",0.0,0,5577
55,“New” Countryman,78738,"Jun 17, 2020","I have just read an article from Parker’s on the “new” facelifted Countryman. In the report it suggests the PHEV has 220bhp fprom it‘s 2 litre engine and it’s electric motor.
Have BMW swapped the engine from the 3 cylinder 1.5 unit or is the article wrong?",12.0,0,1780
56,Mini Plant Reopening - Impact on Delivery Times,14321,"May 13, 2020","Plant due to open 18 May. Will be interesting to see what happens to delivery times. I am guessing there will be a lot of cancellations because there is no cost to do so, but will there be enough cancellations to make up for the almost two month closure? I am already starting to lose interest as the delivery time they gave me in Feb was August.",2.0,0,1402
57,USA mini electric owner youtube channel,5009,"Mar 27, 2020","Some good info on the new electric mini on this YouTube channel.




",3.0,0,1498
58,Countryman PHEV Servicing,32161,"May 3, 2020","Hi folks,
I'm looking into ordering one of these, I've had test drive and got my head around the maze of options, and am just trying to crunch the numbers.
One thing that I've found hard to get hold of is the service intervals, and costs. Can you share your knowledge and experience? Minor and major services? Are servicing packs available?
Thanks in advance.",8.0,0,3438
59,Mini Countryman All4,55897,"Nov 24, 2018","I wonder if somebody could explain how the all 4 system works in practice on the PHEV.
The way I understand it is that the ICE powers the front wheels and the electric motor the rear wheels giving all wheel drive like the diesel version.
What happens when the battery is flat, does the petrol engine take over the rear wheel to maintain 4 wheel drive or does it revert to front wheel drive only with a little help at the rear as and when the battery has regained a bit of charge.
The scenario I'm thinking of is 15 miles of country roads in the snow, would I have permanent 4 wheel drive?",3.0,0,1997
