,Dominant_Topic,Date,Text
2657,0,2015-02-06,"Yes it was a mistake. 1065 is the max front axle weight. The train weight is 3530kg, which makes much more sense -- it's almost 2 tonnes more than the kerb weight - more than I might have expected.

[Edited] Max vehicle weight is 2015 kg, so this corresponds with a trailer load of just over 1515 kg, which is I think pretty standard for Golfs and A3s.."
2198,0,2017-07-15,"Old version of iOS car-net app did have options for Watch; but upon checking that option is no longer there in latest app release.
No biggie, as we've lost other features such as external temperature display within the app; but that option still shows within a browser portal."
2683,0,2015-09-21,"Yes I have become very familiar with the first few bars of my Aaron Copland Collection..!

It's infuriating and I am similarly searching for a solution. I think it may actually be an Apple and not a VW setting, although it feels of a piece with VW's general approach to infotainment and heating, which seems to be always to revert to default settings whenever you restart the car."
1809,0,2018-04-14,"Heating is nice, but does it cool the car in the summer? One of the joys which is every bit as good as the winter warming is stick the aircon on in the summer and not frying as you open the door on a car that is 53c inside!

Comfortable 18c and looking around at the people with their windows down and aircon on before they can sit on leather seats!"
2415,0,2016-07-25,"So does anyone know if the cars come with an integrated sim a standard, or is that part of the advance telephone option? Do I then have to buy a sim myself, or is there already one in there that VW provide? Or do you use a 4G USB dongle?.. 

It just doesn't seem to be clearly spelled out anywhere by VW!!!

(deposit placed btw, collected Friday, very excited! )"
845,0,2019-07-08,"Just logged onto new app, selecting the option ""Vehicle Locked"" gives me an error stating ""This online service is locked. You can find out more from Volkswagen We Connect."" - except I've not found anything. Is this something payable in the app, or is it a bug? I'd assumed it was remote lock/unlock perhaps?






"
1808,0,2018-04-14,"...

It’s just through heating the inside so no optional features at play. Works very well though as it uses the demisters as well. In really cold weather I tend to set it at about 25 degrees which by the time you have opened doors to get in etc is a good temperature and defintley defrosts the windscreen."
2856,0,2015-06-11,"Hallelujah! (or should that be e-llelujah?)
I have finally managed to add my car, about two months after I bought it! 

In the event it was a bit like struggling for months to break into Tutankhamen's tomb and finding that all it contained was an unwashed sock, a mouldy banana and a few empty bags of crisps. Of course I have no driving data to display, but the functionality feels a bit minimal... 

Still, be it ever so humble, I am in -- and for this, much thanks.."
1694,0,2017-12-27,"Called the number on the CarNet website - turned out to just be general VW customer services rather than a CarNet-specific line, but the guy said the 7 day thing is likely a coincidence and he's taking all the details (including everything I've tried) and escalated it and I should hear from someone within 48 hours with more info."
725,0,2019-09-03,"Cannot get WeConnect to work on iPhone XR for 2 months since the 'upgrade' of the app......deleted it, re downloaded it, re entered password on it.......crashes on start up!!! Will it be iOS 13 ready next week?? It won't currently work on iOS 13.1 beta either."
263,0,2022-06-22,"One feature I like of VW's ACC in my GTE is the radar's ability to work through fog. 

Driving along a quiet motorway on a sunday, there were patches of fog, some thicker than others. 

The ACC braked me down from 60 to 40mph quite strongly as I approached a fog bank, with me completely unable to see the car hidden in it (no fog lights on)."
1910,0,2018-01-17,"Thank you (again) @gladini 
Yes, I was looking for an icon on Discover Pro, inside the car. I will try that tonight.

@GTEJesper I don't have a separate SIM, but I have connected my Discover Pro to my phone, using the latter as a WiFi hotspot. But no CarNet icon appears. Is there something I need to configure?"
2355,0,2017-01-24,"Mine has been stuck on Saturday's data until this morning and now I notice that the charge level/status has updated but nothing else. Up until now this has been pretty good and reliable. I actually like the Car Net app, I find it useful. I'm certainly not going to pay for it when it runs out next year.

Has anyone had any feedback from VWCS?"
2366,0,2016-12-13,"@Tekkfreak Android here as well: Nexus 5. I also found that thread, but nothing I have tried has actually worked: assigned local images for contacts, exported them to the car, etc. Though, I haven't reset them since the first connection. So, I might try and see how I can do that in the car.

I'm still to test the app, because I'm very particular with what I install on my phone."
848,0,2019-07-14,"...

Turns out the feature is not available on my car - VW state ""Certain 2019 model vehicles feature an additional service, which allows the user to remotely lock or unlock the car and is triggered through the padlock option in the app.""

So no remote lock/unlock for me on my 2017 Passat GTE "
2853,0,2015-04-25,"I pick up my eGolf in a couple of weeks and downloaded the Car Net app today after reading this tread. The Android version isn't letting me register, it takes me to a web page with broken scripts that go around in a loop. I know I have plenty of time, I'm just worried that it'll never work."
284,0,2022-06-22,"...

good question, not sure. I don’t have any of those around my way sorry. I would guess yes it would respond to the red circle? I know it doesn’t slow down for the 20mph when lights show signs which don’t have a red circle. Sometimes the cameras get overridden by gps data though."
2163,0,2017-05-31,"The external temp indicator is my biggest gripe; yes the app is fresher/cleaner to view; but is clearly less functional which may make data transfers quicker.
External temp display is still visible within the web browser, but it's no much fun when accessing this is much slower!"
1586,0,2018-09-02,"My issues persist. Went on holiday for a week to an area with no phone signal. Didn't use the car for a week and since then the car will no longer communicate with carnet server. It won't even connect to the internet (via phone hotspot) to use the in-car carnet features (live traffic etc).

It does connect to my hotspot but when you try and launch carnet it says connection failed or no internet connection, something like that (despite the car saying it is connected from within the WLAN menu). I've tried 2 separate phones, both the same, both have worked previously.

I've deleted my car from my carnet account to try and re-register, as I've done in the past, which has solved issues in the past. However, the screen/menu in my car is still showing carnet registered to me and when you choose delete from the car menu, it says please wait and after 2 minutes says it can't be deleted and to delete online instead (which I've already done). I've done a full factory reset and still no joy, can't delete my account in the car.

Anyone have any further tips and how I can maybe do a more thorough reset or get things going again (before I take it to dealer for them to not do anything and say it's fine, again)? I have a feeling once I can delete my carnet account in the car system, it will probably unstick the connectivity issues. Or maybe i need to unstick the connectivity issues to be able to delete it. Either way, I have a connectivity issue!"
2846,0,2015-03-02,"yep, set the account up now and then when you have your VIN tomorrow it will only take a few seconds to add the car to your account.

I tested this app (well, the audi version) with the e-tron i borrowed for a weekend and it was fantastic, worked a treat."
1578,0,2018-08-01,"Haven't had any Carnet connection issues since the car's firmware was updated back in Jan/Feb. App, car, everything has appeared to work when I asked of it. My iPhone is also running iOS 12 Beta without causing issues to app or connectivity to the car!! Thats a surprise!"
1986,0,2017-10-06,"Mine has been working fine for the last 5 days. That's on a MY17, Mk 7.5 Golf GTE Advance. 

I'm in Sheffield and only been in areas with good mobile reception if that helps. 

I've previously discussed repeated issues with Car-Net - I don't think there is any rhyme or reason why it breaks, its just a shoddy system."
1445,0,2018-12-21,"Mine froze on 18th Dec. After two hours on the phone with VW support, multiple resets and trying different wi-fi for activation the car has to go to the garage. Oddly they say it's communicating but won't register. Such a poor system letting down an otherwise excellent car."
737,0,2019-10-21,"Unfortunately for We-Connect issues you really do need to get VW involved. Once they've fiddled with it, it seems to be reliable - has been fine for my car (GTE) for 6 months.
Try the obvious like waiting 24 hours for it to update, force an update by pulling all the way down from the top and maybe if you feel brave pull the telematics fuse and reinsert it."
2367,0,2016-12-13,"@Todor I reckon if you create a new contact with an new image you download (rather than the auto generated pictures that google steals) .. then re-pair the phone (to see if IrMC profile is allowed) .. it might work 

I'll try on my side too, as I have a Nexus4 and a newer One+ .."
