,Post_Title,Author,Date,Post_Content,Comment_Number,Net_Likes,Views
10,VW Satnav and charging info,115293,"Feb 9, 2023",I’ve had my ID5 for about 3 months and have done a few long trips -250 miles plus.and wondered how good the inbuilt navigation is regarding charging stations etc?,2.0,0,345
11,Help - eTransporter v Podpoint Solo2,118214,"Jan 14, 2023","Hi All

After some help please - have had an XC90 mild hybrid for a couple of years, which when purchasing, I had a PodPoint SOLO2 installed at home. All works perfectly……

Today I took delivery of a VW eTransporter which I had assumed I could simply plug into the PP Solo and wait 11hrs for it to charge - no such luck !! Tried my purchased cable that I use for Volvo, won’t work, so also tried cable that came with Van…still no joy. Get all the clicking and lights, but rather than a green flashing light on the VW, just goes Red (not working)

Took van and van cable to Tesco Podpoint and plugged in - worked fine !! Leads me to believe that the PP Solo at home the issue, but not idea what that issue is ?

can anyone point me in right direction or offer advice ?

many thanks in advance",4.0,0,554
12,VW Warranty transferable?,117082,"Dec 10, 2022","I have recently bought a 67 plate Golf GTE Advance and the seller told me that he paid for a 2 year warranty and a 2 year service plan - can these be transferred to me?

I spoke to the garage where he got it from (VW Barnsley) and the receptionist said that the warranry Should be transferable if the seller rings VW to change this over but the service pack was sold to him so isn’t transferable. Anyone in the know about this?",8.0,0,877
13,VW scheduled charging,115244,"Oct 3, 2022","Does anyone have any idea when VW will sort out the firmware for scheduled charging to work?

On my iD.4 it sort of does something: dribble power in out of schedule (at higher cost), but never charges properly at scheduled time.

I usually control it via the charger schedule, but sometimes it would be nice to have the extra control. Is it really such a big software problem?",7.0,0,1275
14,VW ehybrid keeps firing up ICE. Will not stay in electric mode anymore,111270,"Jun 16, 2022","A couple of days ago I charged the HV battery overnight. In the morning as soon as I hit above 5-10mph the ICE fired up.

It now does this constantly. Despite a full battery and manually switching to emode, it automatically switches back to hybrid and fires up the ICE once I hit about 5-10mph.

Have been using E mode for 6 months and have never experienced this issue.

Any thoughts? VW have no clue as there is no fault light for them to read.",29.0,0,2512
15,VW vs Tesla ACC,93992,"Jun 22, 2022","A question for @Tooks and anyone who has owner experience (or reasonable rental time rather than a test drive) of both Tesla and VW ev.

I use ACC on the ID3 a lot, for me its a real stand out feature and I really trust it. I occasionally get erroneous red flashes on the ID light but I have never had a breaking event that doesn't make sense. Sometimes it's more cautious than I would like it to be (usually slow moving vehicles leaving a dual carriageway, it takes a while to clear the breaking event after the car has left the carriage way) but overall I have been really impressed with the system.

I've got a year and a bit on my lease so probably need to start thinking about what I should buy next. I keep seeing comments about Tesla phantom breaking in certain modes and get a little confused about what the equivalent function names in a VW would be and can I avoid the breaking events with the functions I want to use.

I'm not massively interested in any lane keeping or steering autonomy, I just want the car's cruise control to safely pick up speed limit signs, match the speeds of other vehicles, not undertake other vehicles and not make me sh*t myself with random braking. The predictive regen on the VW is great too, the way it knows a roundabout is coming and regens automatically. Can the Tesla do this stuff as well as my ID3 and is it trustworthy? Is the phantom breaking a real thing or is it overblown?",30.0,0,2746
16,Charging GTE - Newcomer,76608,"Apr 26, 2019","Please excuse what my be a silly request. I am a newcomer to PHEVs having recently purchased a Passat GTE. I have been able to charge it from the domestic plug. Today for the first time, having got my charging network card, I tried charging from a public charger (I am in Ireland and have the card fro the ESB network). I just couldn't get the charging to work. What I did was:


Turned off the motor - it was in EV mode
Tapped on the charger to register my presence
Inserted the cable into the charger
Inserted the cable into the car port
All that happened was that the lights on the charger stayed green, the screen graphic continued to indicate that I should be plugging the lead into the charging point and the car charging light showed yellow and then went off. I've attached some photos. For some reason there does not seem to be any communication between the car and the charger point.

If anyone can advise what the issue may be and how to rectify it that would be really appreciated.",14.0,0,3165
17,Abu Dhabi ID3 and ID4,84438,"Sep 10, 2022","In Abu Dhabi ID3s and ID4s are becoming a common sighting.

Looked on official VW importers website and their is a statement that they are not yet supplying these cars into UAE and advice people not to purchase the cars.

All seems a bit odd.",0.0,0,697
18,Failure to charge.,41889,"Aug 13, 2022","I have had an e-Golf for over 4 years.
I've cracked the problem of getting it to charge overnight during the cheap period of my Octopus Go tariff.
About a year ago I started noticing that sometimes it had not charged when it should have done. This might happen about 2 or 3 times a month.
It only seemed to happen with my home charger. I could get charged at public charging points (CCS) and at my daughter's house which has an Andersen box with a tethered cable.
So it looked as if my charging point was intermittently faulty.
I was in the process of getting quotes for a new one when I took the car to a VW dealer for another unrelated problem. I mentioned the charging problem and they said that there had been a recall on the charging cables, but since it was not a safety problem, it had not been widely publicised.
The original cable supplied with the vehicle had already been replaced once under guarantee within the first year, the stress relief failed and the wires were not clamped to the car plug.
The dealer replaced the cable for free under the recall and I've had no further charging problems since and saved myself a lot of money not having to replace the charging point.
The new cable is considerably heavier and more robust than the old one.
So, if you have any charging problems, it's worth contacting your VW main dealer to see if you are covered by the recall before taking any expensive decisions.
This may apply to several models around the same age.",0.0,1,388
19,private reg for vw car,3555,"Jul 31, 2022","hi ive a private reg that i had on our vw id3 pro car it would suit any one with a vw car
VW21 PRO thats the reg its on retention so paid the £80 already
wonting £290 for it






",0.0,0,618
20,Tiguan PHEV,50625,"Feb 22, 2022",Anyone got or ordering the Tiguan R line PHEV. If you've already got it is it worth it?,4.0,0,1171
21,Anybody heard of CARIAD (VW Group Software Company)?,6652,"Jul 23, 2022","This is news to me, but think it’s interesting that in 2020 VW created a new 100% owned company that is developing the software for the VAG group cars.

Now, I also know this post will be like cat nip for the VW haters, so please try to control yourselves! 😉



https://cariad.technology/de/en/company.html



It’s up to 5500 employees apparently, and they’re still recruiting, but it’s encouraging that VW recognise that software is very important to the automotive future and are investing substantial amounts to make it happen.

Owning both an ID and M3, I do have plenty of opportunity to experience both software platforms and can compare first hand how fit for purpose they are.

So, let’s get that out of the way;

Tesla screen interaction is definitely ’snappier’, the CPU horsepower behind it is evident (AMD Ryzen based I believe).

The Tesla UI is non customisable and I do find the fonts a bit fiddly and hard to read sometimes. And, just when I get used to where everything is, they issue an OTA update and it all moves again… 😂

ID screen is very readable, and I like the way you can customise what is important to you. The responsiveness is improving all the time as well with each software version.

The fact that Tesla still doesn’t have CarPlay or Android Auto is a mystery.

Voice activation and control seems pretty good in both the VW and Tesla, an underused feature I think.

Bottom line is that I don’t tend to use the screen much once underway, so don’t get the complaints about lag etc, and they both do the job. I’m pleased though that VAG are putting so much effort into what needs to be done, and appear to be listening to the feedback.",18.0,0,1477
22,VW workshop Manuals,112638,"Jul 20, 2022","Hi, 

I work for a college and we are running a EV awareness course, and we have purchased three golfs across the hybrid/EV range.

Does anyone have or know where i could obtain some workshop manuals/data for these?",0.0,0,417
23,Updating Discover Pro maps?,1834,"Jul 25, 2015","I'm trying to update the maps on my e-Golf's Discover Pro. I downloaded the update (all 17.8Gb of it), extracted it to a suitable SD card, and tried to kick off the update. The unit says ""No data available. Please insert a source with software update data or check the source."". I've double-checked the instructions and can't see that I'm doing anything wrong, but clearly I must be - has anybody else had similar problems and found a solution?",17.0,0,15636
24,charger in Manchester,98071,"Jul 10, 2022",i am going to Manchester this week any Bonnet or goog charger.pleasenever been their before,4.0,0,641
25,IQ vs standard LED lights.,70584,"Jul 9, 2022","About to spec a Buzz out and the Life vesion which has the dark interior that I prefer doesn't have IQ lights as an option.

Is there a big, noticeable difference with IQ lights on the ID range of cars?

I won't get the full strip of light acoss back or to the Badge on the front, but are the standard LED ones still good as actual lights?",6.0,0,1870
26,ID. Aero - large sedan concept,4218,"Jun 28, 2022","




Is this the ID version of the Passat?",10.0,0,702
27,Guide & Inform Plus/Security & Service Plus,72190,"Jun 28, 2022","My e-Golf has just passed 3 years old and my We Connect app has expired. I was expecting to be presented with a simple option to renew and no doubt money would be involved.

Instead I am presented with 2 options. The first is Guide & Inform Plus which seems to be offering mapping stuff that I don't think I ever had in We Connect. The second is Security Service Plus which seems to suggest some of the options that I had in We Connect. They are from £70 & £55 respectively.

All I have ever used We Connect for is state of charge when charging and some interesting/useful information on consumption.

I am a little confused in what I am being offered. It doesn't appear to bear any resemblance to We Connect and seems to be a lump of money for nothing that doesn't exist somewhere else for free, or something similar (bar SoC and consumption history).

Anyone have any experience of this 3 year issue on We Connect?

Cheers

Geoff

Edit: I've just found some more info and the Security & Service Plus appears to be the We Connect. Is that right?",2.0,0,703
28,"Volkswagen Group and BP partner to deploy up to 8,000 EV chargers across EU/UK",4191,"Apr 28, 2022","







Volkswagen Group and bp launch strategic partnership to rapidly rollout EV fast charging in Europe


Volkswagen and bp have today launched their strategic partnership that will boost the adoption of electric vehicles (EVs) across Europe, unveiling the first charger in Dusseldorf, Germany. The partnership brings together two of the leading global players in e-mobility who aim to transform access...




www.volkswagen-newsroom.com



",17.0,0,1503
29,We Connect doesn’t drag down,72190,"Apr 18, 2022","Has something changed? It looks like it.

For over 2 years when I’ve been using We Connect, I could drag the screen down on my iPhone and it would update the stats.

Doesn’t do this anymore, the screen will not drag down. Is this a thing?

Ta😊",2.0,0,505
30,"VW is preparing some improvements to MEB electric vehicles, including range of up to 435 miles",4191,"Apr 13, 2022","At the UBS Paris Electric Car Day this week, Dr. Silke Bagschik, VW’s head of sales and marketing for the ID. Family, gave a presentation about VW’s ongoing electric vehicle effort, and it included an interesting slide about upcoming improvements to the MEB platform:









VW is preparing some improvements to MEB electric vehicles, including range of up to 435 miles (700 km)


VW is preparing some good improvements to its MEB platform, which will result in better specs in its electric vehicles,...




electrek.co



",11.0,0,1823
31,How to read MyVolkswagen exported data?,16529,"Mar 18, 2022","Am I reading it wrong, or does the data on the export not make sense based upon the column titles? The total consumption columns are gibberish?

e.g. todays 8.7 mile trip, at 3.5kwh p/m should have a value of 2.48 kw used. Which doesn't correlate with either column? Not to mention this was all in E-mode with no engine at all.

Anyone know how to digest these?







",8.0,0,1104
32,be loughton,101873,"Apr 8, 2022","transporter abte
just picked up the vehicle after a safety recall and a range issue
I was told not worry it will charge itself up when you stop as it's idling . I explained it's a electric van she said yeah I know that I will get the techinan to explain it better he come out and said sorry
that's vw marshall Loughton",0.0,0,318
33,We Connect App,51721,"Feb 4, 2022","Hi all,

Is anyone else having problems with the We Connect app at the moment?

Mine keeps saying it's retreiving back end data, then says it's been updated, but it doesn't actually update. It's been showing the same data/status for 3 days now and just isn't communicating with the car at all.

I've tried the usual, off/on again, and reinstalling the app etc.

Anyone know what the problem could be?

Cheers",16.0,0,2492
34,Bigger wheels on an eHybrid?,16529,"Nov 17, 2021","Hi,
I'm considering the Arteon shooting brake eHybrid, which comes with 19"" wheels as standard. However the ICE models have 20"" wheels as an option.

Is there a physical reason that they aren't available (i.e. it's bad for the motors) or is it simply an economy/MPG thing?

Any reason I couldn't source some 20's and fit them?

Thanks

Mike",5.0,0,1163
35,GTE Upgraded Batteries?,16529,"Feb 21, 2022","I wonder what the chances of us seeing Battery upgrade options within the lifecycle of the current GTE models look like?

Like is battery tech moving fast enough that a high capacity battery could be available in a couple of years for sensible money?

My 30 mile range always makes me feel like I'm driving a Nokia Brick ",11.0,0,1721
36,Seeking a participant to take part in my PhD study,106149,"Feb 21, 2022","Greetings everyone, 

I am a PhD researcher at Cardiff University where I am investigating Battery Electric Vehicle (BEV) adoption behaviour in Wales
I am in my data collection process and am looking to further my knowledge and understanding by speaking to current BEV drivers in Wales from a range of car brands and asking them some questions about their experience and how they came to terms with their choice of car (for example motivation to go electric and why they chose that particular car brand).

I am looking for just ONE female individual who owns a VW BEV in Wales and would be interested in being a participant for my study where we will have a casual 1 to 1 online interview to talk about your BEV experiences so far and dive into the core theme of my research which is talking about what you think about the role of the self (i.e self identity) and feelings of pride may have on influencing adoption behaviour.


If you are interested in partaking in the study or just learning more about my research in general and the benefits I anticipate it will bring to Wales, please feel free to send a message through this platform where we can introduce each other and share some short documents describing my research. Thank you for you time in reading this",0.0,0,465
37,State of Health data,96985,"Dec 13, 2021","My 17 plate Passat GTE is getting close to 100,000 miles which is when the warranty on the battery runs out. I had the car in for a service at Alan Day Hampstead and asked them to tell me what the state of health is on the battery. The mechanic initially told me about 12V battery condition, but went to check when I clarified that I was asking him about the battery for the drive system. He told me that they were unable to provide this information without getting a code from Volkswagen.
This doesn't really make sense to me. I was of the impression that a main dealer would have access to all the diagnostic information including the state of health figure for the battery, especially a main dealer that is able to service PHEVs. Has anyone else managed to get this information and what hoops did you have to jump through?
For additional info, in the summer the GOM shows up to 29 miles when fully charged, but 21 is acheivable and in the winter GOM might still show 28/29, but I'm only getting around 14 miles.",10.0,0,3493
38,"Abte transporter finally delivered , has anyone had any success with a complaint yet?",103386,"Dec 31, 2021","Hi, I have just got my transporter and realise it is a very compromised van but should meet my needs local use predominantly and the lease deal was so attractive especially with selling my previous van at higher than purchase price. But....

So I started the search online and ended up here, great forum especially as our other vehicle is a bmw i3s which I love and it helped me decide to change my work vehicle for an ev too.

I ordered the van expecting the 7kw fast charge AC, as per brochure. I have attached a copy of my brochure charge details sorry poor copy low ink! But I have now found it is only charging around 3kw. Not very good on octopuss energy cheap rate 4hr window. So not a full charge CV in 5.5hrs more like 11hrs. Having contacted my charger manufacturer thinking it was the charger and getting a little grumpy with them they investigated everything and low and behold it is the vehicle. As another post mentions it is the way the transporter is built and you require 3 phase.

I have read a lot about the other VW croup Evs suffering the same and they have had a software/coding update to enable single phase 7kw charging. The VW e Up for instance.

Does anyone more tech savvy and knowledgeable know if this is a possibility with the abte transporter? I am currently investigating before I go to the dealer.

Such a shame as I do like the van but not impressed having to pay a hefty bit more to charge each day. 

I will have to calculate the difference between the 5p per kWh off peak and 24p per kWh normal rate over the lease based on 20k miles. I originally thought worse case 1hr per day at higher rate and rest cheap rate.

Any other owners had any dealings with VW on this subject and any results?

Many thanks and happy New year",11.0,0,3116
39,Waze + VW Add EV Chargers (US Only),41025,"Dec 22, 2021","







Waze is adding support to show and search for EV charging stations


Waze has just announced that it will begin showing charging stations for EVs along your route in partnership with Volkswagen.




9to5google.com





Step in the right direction I guess",0.0,0,607
40,Bi directional charging capabilities (V2H/V2G) on 77kW ID models from 2022?,95742,"Dec 16, 2021","Interesting snippets in this VW press release regarding V2H, V2G & We charge plug & charge. Does seem 77kW models already have V2H capability built in which will be enabled with software during 2022:









Convenient, networked and sustainable: new solutions for charging electric Volkswagen models


Volkswagen is the first high-volume manufacturer to offer its customers a universal and seamless eco-system for charging their electric models. The service with the name We Charge will be enhanced step-by-step to offer higher performance, convenience and sustainability – with new charging...




www.volkswagen-newsroom.com



",5.0,0,3665
41,Yellow / orange exclamation Mark & car symbol,99299,"Oct 30, 2021","Car is running OK. 

But has these symbols. 

seem to be some sort of electrical power thing?








issue.",11.0,0,2610
42,Approved used warranty claim,16529,"Dec 1, 2021","So, I picked up my 2018 Passat GTE on Monday but only today did I notice a hairline of missing pixels on the discover pro. A common issue by all accounts and one which VW remedy by replacing the screen.

My question is, is the VW approved used warranty likely to be as proactive?

Would I just take it to my dealer and let them deal with it al?

It came from Beadles (Group1automotive)

Any insight greatly appreciated

Mike",0.0,0,923
43,Would any of you take this up if available in UK?,85884,"Nov 17, 2021","I don't normally post here, but thought this was interesting....

Volkswagen Group launches first household energy tariff in Germany; Elli and ev.energy - Green Car Congress

The Volkswagen Naturstrom Connect tariff has been developed by directly integrating the energy tariff with electric vehicle charging usage, controlled through the Naturstrom Connect app. The customer allows the electric vehicle charging to respond dynamically to the carbon intensity on the grid and in exchange, they will generate one reward point for every qualifying smart charge over 7kWh.

Not sure if my brand loyalty is such that I need to get my electricity from my car manufacturer, but the low carbon feature may attract the more eco-conscious?",0.0,0,941
44,Octopus £90 credit for Volkswagen Electric Vehicle customers,4218,"Oct 31, 2020","This isn't a referral link, but a partnership between Octopus and VW customers









Octopus energy Partnership | Electric | Volkswagen UK


Learn about the benefit of being a Volkswagen electric vehicle owner and VW’s innovative partnership with Octopus Energy. Read more online today.




www.volkswagen.co.uk



",18.0,2,4481
45,VW Pull £1750 deposit contribution,97099,"Nov 10, 2021","Just seen a post on the iD3 FB group from one of the UK dealers - saying that the deposit contribution has been pulled with immediate effect (ie Tomorrow - Thursday). That is any orders taken after today - for those already ordered the discount will be honored. 

This might be wrong - but the poster works for a dealer.",7.0,0,1900
46,EV Crafter,100875,"Nov 8, 2021","Hi,

does anyone know when/if the EV version of the Crafter is likely to turn up?",0.0,0,464
47,VW tell customers their EVs are cheaper than their ICE cars,84596,"Oct 20, 2021","This is a interesting and positive development - particularly as some people keep trying to push the 'VW don't want to sell EVs because it will harm their ICE sales' BS:









VW shows why you'd be dumb to buy one of its ICE cars now


VW, the world’s largest producer of fossil-powered vehicles (by revenue), has produced a graphic comparing its diesel offerings to its...




electrek.co



",5.0,1,1863
48,Type 2 Charge Cable Recall,72762,"Sep 25, 2021","Had my eGolf nearly 3 years now from new and I have just had a routine service done. The dealer also replaced the charging cable for a brand new one under the following recall.








The dealer could not elaborate on exactly what the issue with the original cable is, but I thought that the VW EV community should be informed so that you can prod your dealer next time you visit. I assume that any safety risk must be low, otherwise they would have been more proactive in recalling.

Pics of my new cable below so you can see if you already have it. FWIW My old one had white connectors.













",0.0,0,2209
49,Charging VW Group Cars on Osprey,41025,"Jul 28, 2021","I've had some issues with our local Osprey charger and our ID.3 not getting along together and initiating a charge. All had been well on the same unit on our Tesla. 

I received a message from Osprey yesterday following up, they have identified an issue with one of the power modules of the unit (Brentwood) that would cause issues with VW Group cars (the correspondent from Osprey has an Audi e-Tron, possibly he had experienced issues as well). 

So looks as if Brentwood is fixed which is good news, I'll give it a test at the weekend and just a heads up for people on the issue and Osprey's response.",2.0,0,1392
50,How Strict Are VW With The Extended Warranty,95885,"May 5, 2021","I'm looking to buy a GTE and it seems a no brainer to take out the extended warranty, but a lot of the cars I'm seeing haven't been serviced at exactly the service interval (am I right in thinking it's 9k?). For example one service will be at 12k, or the DSG not serviced until 47k.

Are VW likely to void any warranty claims over this?",0.0,0,1253
51,GTE non starter,97167,"Jun 20, 2021","Had my Passat GTE 10 months. (Bought used)
Got Gearbox error and Hybrid System Error messages when I tried to start. (60% charge on battery)
AA came out, tried clearing faults log, tried to start with booster pack and then with jump leads (in case 12v battery not got enough juice) but all to no avail. So he towed it away to the supplying VW dealer. 
The following day, their diagnostic finds no faults and started fine!
Clearly there's a gremlin - but Anyone had a similar problem / heard of this before / know what needs fixing?
Thanks in advance!",10.0,0,3343
