,Post_Title,Author,Date,Post_Content,Comment_Number,Net_Likes,Views
14,500e,113235,"Aug 4, 2022",Hi... can anyone advise please... my wife loves the 500 .. we've had 3 and now are thinking to go electric... test driven 2 at 2 showrooms ... the only thing that's stopping us ordering is a possible issue with the brakes... on both demonstrater cars when at really low speed.. as if in traffic and creeping forward.. the brakes make a horrendous squeaking sound... it happened on both demo cars... the sales guys both said it had never been heard before and FIAT have no reported issues with this problem... but when I researched it online there were a few review websites who mentioned this issue a while back... the main one being a carwow review by Mat Watson... can anyone who had bought a new 500e in the last 6 months please confirm or deny if they've had any such noise on their electric 500e ? It's the only thing that's stopping us ordering one... but if those demo cards were mine and I sat in traffic day after day with that squeaking every time ..I would go mad... thanks for any help,16,0,1957
15,Has anyone mounted dashcams to their 500s?,112364,"Aug 10, 2022","Curious to hear if anyone has mounted dashcams on their 500s.
If so, which model, and how was wiring it?",0,0,761
16,The monitor is no longer displayed,112232,"Jul 9, 2022","Is there a way to reset Uconnect? The monitor is no longer displayed.

 https://twitter.com/i/web/status/1545913101270532096",2,0,1022
17,Setting charging schedule - menu missing,111233,"Jun 15, 2022",I bought a new Fiat 500 eletric 42Kw and the menu for setting charging schedules is not there...I've seen tutorials online and checked the owner's manual and the function is just not there... I have to do it via Mobile App. Can anybody help me fix this?,,0,1863
18,Screen wash,107937,"Jun 12, 2022",This might be a stupid question but I have looked everywhere in the car and even read the manual but I cannot find out where the screen wash goes or even how to get to it. Any clues?,33,0,4370
19,Battery range indication on Fiat app?,109277,"Apr 29, 2022","The range indicated for the battery charge percentage seems to have gone nuts on my Fiat app!
Used to work fine, but for some reason the mileage vs. batt charge is now under reading massively. The indication in the car is working fine.
I've tried deleting and reinstalling the app - no change.
Any ideas please?",4,0,1637
20,Samsung Galaxy S21 struggling to connect to Uconnect,110578,"May 31, 2022","My Samsung Galaxy S21 will sometimes connect fully, sometimes only phone and music and when I try to connect Android Auto wirelessly it throws the phone off and sometimes won't find the phone at all. I have unpaired and deleted the phone numerous times but this keeps happening. Has anybody found a solution to this that works? Thanks",3,0,2155
21,TPMS (Tyre Pressure Monitoring System)...,106362,"Feb 26, 2022","After the TPMS warning light came on on my Fiat 500E, I checked all my tyres and inflated to correct pressure where required. 
Now my TPMS warning light remains illuminated and I get a message asking me to re-set the TPMS.
How do I do that?
Any help would be appreciated.
Thanking you in advance,
Hudson","4
",0,3988
22,"Those ""spoked"" wheels on the 500e",102460,"May 21, 2022","Yes they look nice. But today I felt a bit energetic so I washed by hand the Mokka-e and then the 500e. 
Those alloys...I washed each ""spoke"" with the soapy sponge. 
Came up OK but it's a bit tedious 

How do you lot do it? Brush? Spray? Take it to the man and pay money? 

Love to know.",5,0, 1715
23,Driving position uncomfortable,104457,"May 14, 2022","I am currently renting a 500e icon from Elmo whilst waiting for MG ZS to be delivered.

is it just me or is it a little uncomfortable? 
My biggest problem being that there isn’t a foot rest for your left foot, so I end up just sort of resting it under the brake, which not only feels awkward, but a little dangerous.

Also no height adjustment on the seat, I’m 6ft and I feel like my head is up very high.",5,0,1651
24,MICROPHONE,108997,"May 13, 2022",The microphone seems to be disabled in my ICON and Hey FIAT / Hey Uconnect does not respond. Would appreciate any comments…..,2,0,1015
25,Charge bettery la prima 500e,109856,"May 13, 2022",Hello I wanted to know what percentage it is good to fully charge the battery to 100 percent or 80 percent to save battery life,2,0,1585
26,Design fault or me?,79216,"Apr 29, 2022","I am really enjoying the 500e but am frustrated at how often I seem to be knocking the lights switch from auto to set on the indicator stalk when indicating. The switch seems very close to the end of the stalk and I must be rotating it when using the stalk. 
Is it just me?",2,0,1555
27,Kids in the backseat,97138,"Mar 26, 2022","Hi all,

So I have a Kona and love it, the other half loves driving the Kona because of the electric, but doesn’t want one as it’s to big 😅 we were considering a Zoe (she has a Mazda 2 at the moment) but really like the style and quirkyness of the Fiat 500e!

It’ll be a 2nd car so it’s not doing long journeys, but what’s the backseats like for kids? YouTube reviews seem a bit mixed with some people saying it’s fine and others not. We have a 5 year old (in a high back booster) and a 12 year old, but realistically 90% of the time the 12 year old would be in the passenger seat and just the 5 year old in the back (there might be the rare occasion where one of them has a friend in the car as well but that’s a really specific circumstance not the norm). If it was all 4 of us we’d be using my Kona, but for when the other half is doing school runs and the odd trip to town etc, what’s peoples thoughts on the 500e? Anyone here have kids and use the back seats? How do they find it

I do totally understand, the Zoe is going to be more practical… but the 500e is a characterful little car!

Thanks!",12,0,3624
28,Upgrading sound system,108774,"Apr 18, 2022",I would like to upgrade the sound system with JBL speakers. Does anyone know where can I buy them> what configuration are they?,0,0,1345
29,How to mirror android phone on uconnect central display,107730,"Mar 30, 2022","Hi again. Phone has paired with my Icon and can make / receive calls OK by just switching on Bluetooth. I did manage to get Google maps on the central screen a couple of times more by luck than judgement though and can't replicate! Ideally would like to get zap Map on there too, but google would be a good start!

Loving this car btw! Just did a 140m trip as a first outing in sherpa. Going to use range mode and go a bit quicker back as got here with one stop no problem.",,0,955
30,Reduced Range,104462,"Jan 18, 2022","Hi There,

My wife bought a Fiat 500e last June and I have to say it is a fantastic car. However, one question I have is.... Fiat claims the car's WLTP range is good for 199 miles but when fully charged the dash says the range is 161 miles! Is there some sort of safety margin here? 

This has been like this for some time - so when the weather was warmer.

I wonder if any of you can shed some light on this?

Cheers 

Austin",16,0,3989
31,Is it right about the pre-condition,105197,"Feb 11, 2022",Someone just told me for the pre-conditioniong to work from the app you have to make sure when you leave the car that the heating is turned on lol,3,0,1252
32,Fiat 500e 2021 (Passion),101999,"Nov 30, 2021","just got a brand new 500e (passion model) and i have the app and can turn lights on, switch climate on etc ... should it also show tyre pressures, currently battery levels etc ... ? like it does on the advert ? 

any help would be greatly appreciated as i am pulling my hair out .... and the dealership are about as much use.",17,0,6549
33,What charging cables come with the fiat 500e icon?,105197,"Feb 3, 2022","Hi there 

I have ordered a fiat 500e icon on lease which will come in march, i had ordered a 208 gt premium petrol but they have had a recall on the car and delivery will be god knows when and i need to make sure i had a car for when my current lease went back end of march to start/mid april.

So i took the plunge as i wanted a EV (i do not drive far tbh) and this car was really the only one i could afford at the time i ordered it about a week ago.....other cars have prices raised ALOT and alot of cars and petrol ones have 8 weeks delivery some i have seen 6 months wait lol.

Anyway for the time being i will not be getting a home charger as the prices of them are ridiculous, i am sure they are charging way way over the odds for them, 700-1200. there have been a few for 549 etc but these are with the grant off WHICH if i tried to order now would be too late anyway as they do not have slots for instillation before the grant ends and so id be paying full price....literally can not afford it, plus i am pretty sure we would need something upgraded with the main fuse too.

I plan on using public chargers, there is a pub near me that has a free 50kw charger long as you are in the pub, me and my friend meet once a month for fee and usually in there atleast 3 hrs talking so it should give decent range, and there are others locally that you pay for but still cheaper than petrol.

i do not mind using a granny cable at home for inbetween tbh.

anyway the question is what cables come with the car, as in the description it just stays ....Charging Cable - Mode 3 

would that be the 7kw one where you can either plug it into a home wall charger and public chargers that are 7kw, do you get the granny cable at all as i do not fancy paying £170 for one.

many thanks",4,0,4116
34,Alloy Wheels on Fiat 500e La Prima,104236,"Jan 23, 2022","Hi all 
I’m a first time car owner and got myself the Fiat 500e. 
I really love it but everything being so tight in London and me not being the best at parking I scratched badly my wheel today. You can imagine how gutted I was for my brand new car 

So I wanted to ask - do you normally fix yours as soon as damaged?
Shall I take it where I bought it from to fix or just find someone locally to repair? 
Is there any type of protection I can add to avoid dents and scratches?
Thanks",2,0,1539
35,Battery drain when parked up,25425,"Jan 4, 2022","Hi

Our battery drained about 25%-30% over 12 days parked up and not been used. Has anyone else had this issue ?",,0,1402
36,Software,25425,"Jun 16, 2021","Hi

Anyone who has picked up their new cars, how is the app and software ? This is usually the main issue with new EVs (see ID.3) 
Can you pre-condition, can you see where the car is etc..",14,0,4239
37,Miles per kWh and running costs low.,530,"Nov 13, 2021","Dort had 500e 3 months now and energy in is working out at 3.12 kWh/mile but costs low combined with a few free PodPoints and overnight tariff works out at 1.8p/mile so overall PCP and running costs favour EV over a new petrol Fiat 500. Basically if you spend over £100/month on petrol and range is enough (160 miles) then 500e should be 1st choice for Fiat fans.

Anyone else keep stats?",6,0,2656
38,Line control,100359,"Oct 29, 2021","Hello there. 
Have had my car now for 4 months. Thinking about how to trick the line control system to avoid holding the steering wheel. On Tesla you use a weight, but on 500 it must be a proximity and heat sensor in the steering wheel. Have tested myself with different materials and found that plastic bottle with water works. But how to turn it into a practical gadget for self-driving?

Any ideas?",0,0,918
39,10.5 Uconnect Navigation software,98020,"Aug 6, 2021","Can anyone advise on the version for their navigation . Please see attached mine shows as TTNAV.R17.0.0.
I am not getting Traffic Information on the map.






",7,0,3079
40,Upgrading to the Fiat 500e Wallbox,15145,"Aug 30, 2021","I asked on another thread about what you get in the car. 

Looking at the website you get a wall box that is essentially a neater way to use a 3 pin plug ( not bad but not ideal) as our dumb Rolec charger is nearly 6 years old I'm thinking of upgrading however there isn't any costs cited and dealership doesn't have details. 

Has anyone enquired? I know 6 years ago my install cost me £249 after the grant. I assume it'll be far more today. Also my concern is whilst 'smart' is neat. Dumb also means the energy providers can't tax use (which Im assuming will be enviable) as it's invisible to them so reluctant to give the Rolec up.

Thoughts?",4,0,2926
41,500e discounts available?,98903,"Sep 9, 2021","Hi all, just joined the forum.
Following a sucessfull test drive, we are very keen to place an order on a Passion in Celestial Blue. The dealership have not been particularly great, so I do not have any loyalty, so would be willing to search around for a better deal than list price. 

Has anyone been successful in achieving an order under list price (less the UK government grant and fiat deposit contribution). Carwow is mostly coming back with list price, with one exception but delivery charges from so far away eat into any discount.

Thanks",7,0,2253
42,Picked up our La Prima,15145,"Sep 4, 2021","Picked up a La Prima Cab today. Dropping off a pristine Abarth Comp with all the bells and whistles was hard. It's my wife's dream car and even now she's not sure if she should of let the Abarth go. 

However the interior, the ride quality and the smooth power delivery (noting that it's only got 118hp) make up for it (well in my head)

Only problem is that the car threw up a fault within 80 miles and stopped the cruise control working telling us to get the car serviced...... Put a dampner on it tbh. However parked the car up and left it for 10 mins and the fault notice has gone. 

Is this something other 500e owners have experienced? Are they a little buggy? My dealer was making light of it (to diffuse the situation) but it's a £34k car and in my mind isn't some computer game which requires software updates the moment you leave the garage.",6,0,2753
43,Fiat 500e service intervals,78496,"Aug 28, 2021","Hi,
We are close to ordering a new fiat 500e, but I am interested in the service intervals and cost. The dealer are saying the intervals are every 12 months or 9000 miles..? Is this correct for an electric car.? Surely there is nothing much to service as it has very little moving parts.?
If anybody has knowledge of this any information would be appreciated.",9,0,7263
44,500e Keys,96005,"May 29, 2021","Question to anyone else who has picked up a 500e.

The dealer gave us one electronic fob and two recovery keys in the ""pebble"". Apparently only comes with one electronic fob but wanted to check others experience?",2,0,4403
45,Hub Caps!,97958,"Jul 30, 2021","Picked up a passion model this afternoon, and about 30 miles later noticed we've already lost the two nearside hub caps. The offside ones just pulled straight off. One thing to double check on collection (or if you have one already). Obviously the dealer is going to rectify FOC, but better to avoid the hassle if you can.

Seems the wheel nuts should be outside the hub cap (retaining them) rather than under. 2 new hub caps on order...",,1,1039
46,500e deliveries,4178,"Apr 12, 2021","Someone posted pictures of a RHD 500e on another forum.
Does anyone know which dealers have them.? 
My local dealer is not very helpful and I given up waiting for a call back from the EV specialist 
I wanted to see one in in the flesh before placing my order.", 31,0,5478
47,Fiat 500e Convertible La Prima Test Drive/Review,7126,"Apr 24, 2021","How to make this review short. Fiat have a Winner on their hands!
I am in the process of looking for a replacement EV for my BMW i3 94Ah (33kW) Rex which has just gone 4 years old and now on 57,000 miles. I have been looking at and testing ideally long range EVs the past few days, as there are now a few about (Kona, Tesla M3, ID3 etc) but this car has caught my eye! I love a small car and the 500 shape has been around for a few years now. Invited to drive this and luckily for me the dealership here in South Wales had both coupe and convertible La Prima editions but only the convertible was ready for a test drive, which would not be my first choice,as the coupe has a lovely panoramic but non opening sunroof anyway. But also lucky as it was a stunningly beautiful sunny day today.
The design of this car is already a classic based as it is on the tiny original. Modernised and now even more smoothed off as an EV. Proportions almost perfect. What really has surprised me and my wife today was the solidity and cabin quality, style and use and mix of cabin materials though. In a Fiat small car at that. I am familiar with the Abarth 500 but this e version is a big step up quality wise. Really clear and colourful drivers display with plenty of available information and the central display large, clear and colourful in a horizontal format. But also highly responsive as a touch screen. Not laggy like a lot of touch screens. Another surprise. Wireless Apple Car Play (and Android Auto as far as I know) standard on this model. Not sure about other models in the range.
Lovely light coloured leather seat. Could be even more bolstered but still comfortable. Lovely to hold leather 2 spoke 2 tone steering wheel. Physical buttons on wheel to control menus on drives display. Rear mounted steering wheel push buttons to control entertainment volume and source etc. 
Nice and clearly marked push button dashboard mounted drive buttons for P,R,N,D. Proper physical ventilation buttons/switches above that! Praise be! Wireless charging mat for phones in between the 2 sections. Accommodated my iPhone 12 Pro Max no problem.USB socket on dash and in central storage cubby. Also deep storage under central armrest. Marketed as a 2+2 of course but very tight in the back seats. A 2+0!? For storage or for small children or short distance emergency passenger lifts only. The coupe seats fold flat 50:50 but did not check the convertible but boot very very small and no major under boot storage- just puncture repair and 3 pin charge cable space really. No frunk.

Now for the driving. Even more impressed. Again that feeling of solidity. Super smooth ride on dual carriageway. Can be firmish over broken tarmac but mainly due to the short wheelbase. Has a firmish edge to it but controlled/very well damped. Dealt with numeorus speed bumps with no crashing or thumping at all. Another surprise. Took them with ease smoothly and softly.
This car is FUN to drive. Really holds the road well. Fast, direct and responsive steering. Not much feel but par for the course nowadays. It has that thing called ""character!"". If it was a dog it would be a terrier! Have no idea how powerful it is but is fast enough. Not i3 fast but fun and fast enough. Accelerates with ease, and passes other traffic easily. Typical of an EV.

And then there is the roof on the convertible. Certainly aware of more wind noise above your head when closed (Would like to compare with the coupe at some point). Individual ceiling mounted buttons to open - in 2 stages. Seems to open and close at any speed. We did at 40+mph. Not sure if there is a speed limit on its function. 1st press opens to a very large sunroof. 2nd press of same button folds canvas roof to back of car. Obscures rear vision mostly in that position. With windows open it does give the full convertible feel even though roof rails/structure still up and in place. Would have been nice to have some sort on inner sun mesh screen but I guess this would have been impossible design wise, as sun was blinding and harsh feeling on top of our heads at 2pm this afternoon. It is the only new convertible EV available as far as I know, so worth it! (excluding original and forthcoming Tesla roadster)
3 drive modes activated by a lever type switch between the seats. Normal, Range and Sherpa. Range does give you some re-gen effect which is very welcome but not 1 pedal driving as far as I could tell. Was having too much fun to test that.
Did not drive economically. Could you tell? Re-set dash trip meter at beginning and set to efficiency page. Covered 15 miles which included a mountain. Started on 83%. Back to dealership with 72%. 40 min drive but at least 10 mins fiddling with info screens and setting seats and mirrors etc. Average consumption 15.0kWh/100km. Not familiar with that combination of units but google seems to suggest 4.14mi/kWh. Warm day-16-18 degC/dry. Impressed with that as had it on Normal mode for most of drive. I think this has a 45kWh battery but as is often the way I am not sure if that is gross or net. Either way this is an impressive car. If we say it has a 40kWh battery then 150-160 mile real world range. I think Fiat have quoted a WLTP range of up to 199 miles? Driven more sedately nearer 200 miles should be possible but this is a type of car that does not necessarily encourage that!
Will hopefully get to try the coupe at some point. I gather they charge at 85kW. Once the charging infrastructure improves (I have been saying the same thing every year!), then it will be a no brainer to buy and run one of these. (Perceived) High quality little car. Small battery but big enough for urban trips and fast enough charging to do a longish trip. With the convertible roof it makes any trip an event. Especially on a sunny day. Would be good to try it in heavy rain. Noise? Insulation from the elements? Leaks? Perhaps present 500 convertible owners can advise.
Anyway this is a very welcome addition to the EV market, which is expanding almost daily at present. Fiat has definitely got its **** back. Or hit the EV target with this one. 
And they were offering discounts and good finance deals back at the dealership. APR was 5.?% 

As I have ended another review of a car I tested this week, on another part of the forum: this is my opinion of the car I test drove. Your opinion may differ. This is to inform people who may be interested in this car but unable to sample one for themselves at this time. Look forward to other reviews from you all at some point!",17,5,6932
48,500e Test Drive,13593,"Apr 24, 2021","After being interested in the 500e for quite a while, I was finally able to have a test drive last week at my local Fiat garage. Looks like I was the first to try it, as it only had 8 miles on the clock!

In general the car is a real quantum leap over the old 500. I always loved the look of the old 500, and actually bought one in 2009. However I sold it soon after as it was pretty crap to drive. This new electric model improves on the old car in pretty much every conceivable way.

Positives:

Looks great in the metal.
Finally a good driving position in a 500! Lots of adjustment in the seat and steering wheel. You can sit noticeably lower compared to the old 500.
The central display in the La Prima I drove was responsive and crisp, wireless CarPlay worked faultlessly.
Radar cruise and auto lane hold worked very well.
Performance felt decent. Nippy away from the lights.
Amazing turning circle!
I didn't have time to fully test the efficiency, but it seemed pretty good. Range was stated at 160 miles at 100% when I first got in, I drove for 13 miles at a stated 4 mi/kwh on a mixture of motorway and town driving and got back with 7% used and 147 miles left on the GOM. 

Negatives

Although the interior looks great, there are a few bits where the materials feel cheap.
The ride was generally good, but it tended to thump over serious bumps. Nowhere near as bad as the old 500 though.

Overall I really liked it! It's a pity I couldn't keep it for longer to really see what the efficiency is like and what it's like to live with. I'd also be interested to see what deals are available, at the right price it could be a really compelling package!",,2,2142
49,Thinking about shipping our 2013 Fiat 500e to the UK - am I nuts? (Oops - posting this again in the correct forum),93109,"Nov 19, 2020","I enjoy driving our little Fiat 500e over in California and feel one of these would make a perfect runabout when we are over in the UK. Most of the non EV parts are standard Fiat 500 so in theory it shouldn't be too expensive to maintain standard wear items, tyres, brakes, wipers etc. Some inexpensive reliable Fiat 500e 2013 models here in California can be found for less than $5000. Looking at the cost to ship from the US to the UK should be less than $1000 according to : How Much Does Shipping a Car Overseas Cost? - CostHelper

Once this pandemic has declined, I'm sorely tempted to buy another 500e then pack up our current 500e for the UK but not sure about the current UK car inspection requirements. Looking at the VAT impact it should be zero as it has been owned by us outside the EU (if that even matters anymore) for almost two years. Essentially everything except the drive train and some of the trim is standard Fiat 500 especially safety elements so I would think there would be no additional inspection items required?

Here's an example of a 2016 500e for $5991 https://www.cars.com/vehicledetail/detail/828502330/overview/

Any thoughts - or am I totally crazy?",49,1,7736
50,Fiat 500e (2020) - Youtube Reviews,59017,"Nov 15, 2020","Noticed that quite a few initial reviews of the new electric Fiat 500 are now on Youtube from the German reviewers.

The most interesting one that I came across is linked below (links jumps to charging section), however due to its length the auto generated closed captions aren't available.

Key take aways from the linked video at the 150kW Charger

Car plugged in at 7% - Initial charge rate of 82kW
26 Minutes to 81% - At 81% Charge rate of 42.5kW with 27.7 kWh delivered in that time
42/43kW until 85%, seems as though it is a staircase shaped charge curve
At 85% charge rate drops to 13kW
Around 29 minutes from 7% to 85% - 29.4 kWh delivered in that time






Another German review of the car with auto-generated closed captions available




",,1,3158
